Sentence_ID,Sentence,Arg_Type,Argument_IDs,Argument_Relations
51,"As a result, blood has already been shed in the South-East and the situation is extremely dangerous.",claim,[46],{}
52,Any further escalation of the situation must be swiftly stopped.,claim,[47],{}
53,The international community must require the Maidan henchmen who seized power in Kyiv to cease their war against their own people and to implement all the commitments under the 21 February agreement.,claim,[48],{}
54,"The Western sponsors of the Maidan henchmen, in particular those who stood as witnesses to the agreement and the United States, which is their backer, are obligated to end their support, dissociate themselves from neo-Nazis and other extremists, stop the use of force against the Ukrainian people, and begin forthwith a genuine national dialogue with the full participation of all regions, in the interests of the speedy implementation of radical constitutional reform.",claim,[49],{}
55,It is the West that must determine the opportunity for avoiding civil war in Ukraine.,claim,[50],{}
56,"Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.",premise,[51],{}
57,Enough is enough.,premise,[52],{}
58,"They must stop claiming that we have deployed our army along the border with that country and are practically already at the English Channel, and that we have sent agents to coordinate the protests in Ukraine.",claim,[53],{}
59,"It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.",claim,[54],{}
60,"I wish to thank you, Madam President, for convening this meeting.",non-arg,[],{}
61,I also wish to thank Assistant Secretary-General Oscar Fernandez-Taranco for his briefing.,non-arg,[],{}
62,Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.,claim,[55],{}
63,"External forces and local provocateurs continue to fuel separatism and hatred, destabilizing the situation in eastern Ukraine on the eve of the 25 May elections.",premise,[56],{}
64,The scenario is dangerously familiar.,claim,[57],{}
65,"Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.",premise,[58],{}
66,"Again, considerable Russian troops are massed on Ukraine's borders.",premise,[59],{}
67,"Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.",premise,[60],{}
68,"Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment.",premise,[61],{}
69,"Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.",claim,"[62, 63]","{(62, 64): 'attack', (62, 63): 'attack'}"
70,"In fact, about 65 per cent of the region's residents, according to opinion polls, have expressed their desire to remain part of Ukraine, while only 18.2 per cent want to join Russia.",premise,[64],{}
71,"Tragically, bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.",premise,[65],{}
72,"It is as clear as day that, in spite of the reassurances we heard from Moscow a few weeks ago, military aggression against Ukraine and its sovereignty, independence, and territorial integrity has not stopped with Crimea.",claim,[66],{}
73,"My Government strongly condemns the actions of the separatist groups and their sponsors in the Donetsk region, as well as in the regions of Luhansk and Kharkiv.",claim,[67],{}
74,Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.,claim,[68],{}
75,Ukraine's Government has reached out repeatedly to the separatists.,premise,[69],{}
76,"In the most difficult of political and economic circumstances, Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions.",premise,[70],{}
77,Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority.,premise,[71],{}
78,"That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.",claim,[72],{}
79,Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.,premise,[73],{}
80,"Furthermore, amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.",premise,[74],{}
81,"It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.",claim,[75],{}
82,We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.,claim,[76],{}
83,"At the same time, when the existence of a State is put in danger, we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.",claim,"[77, 78]","{(78, 77): 'support', (78, 80): 'support', (78, 81): 'support'}"
84,The international community and members of the Council should not be fooled by the pronouncements of the likes of Yanukovich and his corrupt cronies.,claim,[79],{}
85,"The independence, sovereignty and territorial integrity of Ukraine are being threatened, and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.",premise,"[80, 81]",{}
86,"We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.",claim,[82],{}
87,"The meeting among the United States, Russia, Ukraine and the European Union foreseen for 17 April in Geneva wold offer a viable chance for dialogue and diplomacy.",premise,[83],{}
88,We call on Russia not to waste that opportunity.,claim,[84],{}
89,The human stakes of what is happening in Ukraine are extremely high.,claim,[85],{}
90,"The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda, while the Ukrainians are being confronted by incitement and violence.",claim,"[86, 87, 88]","{(87, 86): 'attack'}"
91,"Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.",claim,[89],{}
92,"The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.",premise,[90],{}
93,"The Council has heard it publicly, and we have heard it privately.",premise,[91],{}
94,"Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.",premise,"[92, 93]","{(93, 94): 'attack', (93, 95): 'support', (93, 92): 'support', (93, 96): 'support'}"
95,"Then, too, officials from the Russian Federation spoke early on in the crisis and disclaimed any intention of occupying or invading.",premise,[94],{}
96,"In the earlier Crimean case, highly organized, well-equipped and professional forces wearing Russian military uniforms and military gear without identifying insignia moved in first to take control of Crimean Government and security facilities, before being later replaced by regular Russian military forces.",premise,[95],{}
97,"Then, too, Russia said it was acting to protect minorities' rights.",premise,[96],{}
98,But the whole world now knows that they were not.,claim,[97],{}
99,"As the Organization for Security and Cooperation in Europe has reported, the minorities at risk in Crimea are Tatars and Ukrainians.",premise,[98],{}
100,"The Council has heard that there are no Russian troops in eastern Ukraine, but the fact is that many of the armed units that we have seen were outfitted in bullet-proof vests and camouflage uniforms with insignia removed.",premise,[99],{}
101,"Those armed units, some wearing black and orange Saint George's ribbons - associated with Russian Victory Day celebrations - raised Russian and separatist flags over seized buildings and have called for referendums and union with Russia.",premise,[100],{}
102,"We know who is behind that; indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.",claim,"[101, 102]","{(102, 103): 'support', (102, 104): 'support', (102, 101): 'support'}"
103,"The synchronized surgical seizure of buildings yesterday occurred in towns along the main highway, followed by armed roadblocks, almost as ifa coordinated barrier were being formed between Kyiv and the major eastern cities of Donetsk and Luhansk.",premise,[103],{}
104,"The Council does not have to take my word for it - or even that of the Ukrainian Government - it need only witness for itself the videos of professional military shepherding thugs into a building in Kramatorsk; the photographs showing the so-called concerned citizens taking over Sloviansk, equipped exactly like the elite troops that took Crimea; or the video of a military operation in Krasny Liman by armed men with the same equipment.",premise,[104],{}
105,"The Council has heard laments about instability, as ifinstability were organic.",premise,[105],{}
106,But the fact is that this is the saddest kind of instability: it is completely man-made.,claim,[106],{}
107,This instability was written and choreographed in and by Russia.,claim,[107],{}
108,"We continue efforts to de-escalate the situation in Ukraine and find a diplomatic path forward, which is why Secretary Kerry will participate in the Geneva talks on 17 April, which will include Russian Foreign Minister Lavrov.",claim,[108],{}
109,"But ifthose are to be successful, Russia will have to explain why its forces continue to mass on the Ukrainian border - at least 40,000 forces - and it will have to come with constructive ideas on how to de-escalate and resolve the armed attacks on buildings in eastern Ukraine.",claim,"[109, 110]",{}
110,The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.,claim,[111],{}
111,We also stand with international law and norms and the fundamental principle that borders are not suggestions.,claim,[112],{}
112,"On Monday, we will conclude the $1 billion loan guarantee for Ukraine.",premise,[113],{}
113,"That will benefit all the Ukrainian people, including minorities.",premise,[114],{}
114,"Next week, Vice-President Biden will visit Ukraine.",premise,[115],{}
115,We strongly support concluding the agreement between Ukraine and the International Monetary Fund so that the international community can bolster Ukraine's economy.,claim,"[116, 117]","{(116, 117): 'support'}"
116,And we will support in every way we can Ukraine's elections at the end of May so that Ukraine can advance its political transition and look to a peaceful future.,premise,"[118, 119]","{(118, 119): 'support'}"
117,"The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours, with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.",premise,"[120, 121]","{(120, 122): 'support', (120, 121): 'support'}"
118,Street protests have given way to violent action.,premise,[122],{}
119,That is a dangerous escalation of an already dangerous situation.,claim,[123],{}
120,"We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.",premise,[124],{}
121,That is a pattern that is all too familiar.,premise,[125],{}
122,"Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia, these events point clearly to Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.",claim,"[126, 127]","{(127, 124): 'support', (127, 125): 'support', (127, 126): 'support'}"
123,"Such actions are contrary to international law, have already been condemned by the international community and have been declared invalid by the General Assembly.",claim,[128],{}
124,"As a Member of the United Nations, and as a permanent member of the Security Council, Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.",claim,"[129, 130]","{(130, 129): 'support', (130, 131): 'attack', (130, 132): 'attack'}"
125,"Yet satellite images show that there are between 35,000 and 40,000 Russian troops in the vicinity of the border with Ukraine, equipped with combat aircraft, tanks, artillery and logistical support units.",premise,[131],{}
126,"That is in addition to the 25,000 Russian troops based illegally in Crimea.",premise,[132],{}
127,"Just as six weeks ago Russia denied deploying its troops to Crimea, it also now denies that it has amassed troops on Ukraine's eastern border.",premise,[133],{}
128,It claims that the publicly available satellite images illustrating that troop deployment were taken in August 2013.,premise,[134],{}
129,That is false; additional images released on 11 April show clearly that the build-up started in early March of this year.,premise,"[135, 136]","{(135, 134): 'attack', (135, 136): 'support', (135, 133): 'attack'}"
130,"Russia's aggressive stance is a clear threat to the sovereignty, independence and territorial integrity of Ukraine.",premise,[137],{}
131,"The United Kingdom calls on Russia immediately to redeploy its troops away from the border, cease all activity designed to heighten tensions and sow discord, and revoke the mandate given by the Federation Council on 1 March to use military force on Ukrainian soil.",claim,[138],{}
132,The Russian Federation has made little secret of its efforts to undermine the process of reconciliation in Ukraine.,premise,[139],{}
133,"Rather than assisting its neighbours in rebuilding their country after the fall of a deeply corrupt regime that left the nation on the verge of bankruptcy, Russia has instead sought to destabilize the country further in pursuit of its narrow interests.",premise,[140],{}
134,"Russia must desist from those steps and address whatever grievances it has through dialogue, starting with the contact group talks scheduled for this coming week.",claim,[141],{}
135,The international community is not fooled by the Kremlin's use of propaganda and misinformation to spread fears among the population of eastern Ukraine.,claim,[142],{}
136,"Contrary to Russian claims, the recent demonstrations in eastern cities are not organic.",claim,"[143, 144]","{(144, 145): 'support', (144, 143): 'attack'}"
137,"They do not enjoy widespread support, and the numbers of genuine protestors on the streets pale in comparison to the crowds of hundreds of thousands who protested against the former regime.",premise,[145],{}
138,"Rather, what we are witnessing is a well-orchestrated campaign designed to destabilize the country.",claim,[146],{}
139,"If Russia really has genuine concerns about Ukraine's Russian-speaking population, then its actions have done nothing to safeguard their interests.",claim,[147],{}
140,"The illegal annexation of Crimea, stoking tensions and provoking violence in eastern Ukraine, hurt and endanger all the people of Ukraine.",premise,[148],{}
141,The special monitoring mission of the Organization for Security and Cooperation in Europe and the United Nations human rights monitoring mission are in Ukraine to observe the situation and report on developments.,premise,[149],{}
142,Their presence is designed to safeguard the rights of all the citizens of Ukraine.,premise,[150],{}
143,We look forward to their assessment of the situation and we fully support their work.,claim,[151],{}
144,"Russia is seeking to impose its will on the people of Ukraine by using misinformation, intimidation and aggression - tactics drawn from the darkest days of the past century.",premise,[152],{}
145,That is completely unacceptable.,claim,[153],{}
146,The Ukrainian people have the right to determine their own future free from Russian interference.,claim,[154],{}
147,On 25 May Ukraine will elect a new president.,premise,[155],{}
148,The Ukrainian Government has stated clearly that its programme of constitutional reform will include discussions on the degree of autonomy devolved to Ukraine's regions.,premise,[156],{}
149,"That is a clear pathway to resolve differences through peaceful, constitutional means.",claim,[157],{}
150,The use of armed force that we are now witnessing in eastern Ukraine to impose one set of views on the peaceful majority is therefore entirely without justification.,premise,[158],{}
151,"Moscow must reject these latest unlawful actions, and do so publicly.",claim,[159],{}
152,"Since yesterday, we have seen the abrupt and simultaneous outbreak of violence in eastern Ukraine: nothing about it was spontaneous.",premise,"[160, 161]","{(161, 160): 'support'}"
153,France condemns the violence.,claim,[162],{}
154,We call on all parties to exercise restraint and dialogue so that a peaceful solution to the crisis quickly emerges.,claim,[163],{}
155,Everyone must work towards de-escalation.,claim,[164],{}
156,"The scenario we are seeing reminds one of the events that took place in Crimea one month ago: simultaneous action by a small but trained group of aggressive activists determined to occupy territory, followed by the presence of disciplined, masked men wearing uniforms and armed with weapons of war that are not found in military surplus.",premise,"[165, 166]","{(165, 166): 'support'}"
157,"Those facts, which come to us through the waves of images on the Internet, are the same as the ones that Russia labelled a month ago as spontaneous demonstrations by local self-defence groups.",premise,[167],{}
158,"No one believed it then, and we do not believe it today.",non-arg,[],{}
159,"One gets the impression that, in denying the facts, Russia is unaware ofthe existence of the Internet and that it serves to contradict its denials.",claim,[168],{}
160,Let us not forget that such protests were a prelude to the annexation of Crimea.,claim,[169],{}
161,"Moreover, the build-up of Russian troops for several weeks now - under the guise of military exercises - casts an ominous shadow over eastern Ukraine.",claim,[170],{}
162,"Further still, the economic pressure is becoming more biting.",claim,[171],{}
163,"Without dialogue with the Ukrainian side, which it has taken by the throat, Russia has brutally raised the price of gas.",premise,[172],{}
164,"It blocks the entry of goods at the border between Russia and Ukraine, no doubt in an effort to stifle a country it calls its brother.",premise,[173],{}
165,"Finally, Russia is systematically bombarding Ukraine with a message of defiance vis-a-vis Kyiv via the airwaves and television channels, which, for many people who do not have access to various sources of information, is the only message they hear.",premise,[174],{}
166,"It is against that backdrop that France commends the level-headedness of Ukrainian officials who, against that destabilizing torrent of events, seek to resolve the crisis through dialogue.",claim,[175],{}
167,That is the spirit in which Prime Minister Yatsenyuk visited eastern Ukraine with specific proposals in response to the real questions of people overwhelmed by propaganda who are disoriented and being exploited by radical groups.,non-arg,[],{}
168,France has always been clear on the issue of the status oflanguages and regions.,non-arg,[],{}
169,"We encourage the authorities in Kyiv to continue their efforts for cooler heads to prevail, enter into a constructive dialogue and reassure people about their place in Ukraine.",claim,[176],{}
170,"The future of Ukraine should not, and cannot, be up to anyone else but the Ukrainians themselves.",premise,[177],{}
171,"We should support the Ukrainian authorities in organizing elections, under the best of conditions, that ensure that everyone is represented.",claim,[178],{}
172,Our message has always been clear that the presidential election scheduled for 25 May must be free and transparent and guaranteed by the presence of international observers.,claim,[179],{}
173,We reiterate our commitment to the territorial integrity of Ukraine.,claim,[180],{}
174,"We call on Russia commit to de-escalation and to condemn, along with the rest of the Council, the attempts at destabilization carried out by armed groups in eastern Ukraine.",claim,[181],{}
175,We also call on Russia to fully assume its role as a permanent member of the Security Council.,claim,[182],{}
176,"Russia is a guarantor of peace and security in the world, both in the larger world and in its immediate neighbourhood.",premise,[183],{}
177,There cannot be two different standards.,non-arg,[],{}
178,Russia must today put its full weight behind helping Ukraine regain stability.,claim,[184],{}
179,It must show itself up to the task ofplaying the role it wishes to play as a pillar of Euro-Asian stability.,claim,[185],{}
180,"We hope that the proposed meeting on 17 April among Russia, Ukraine, the United States and the European Union will be held and that it makes it possible for solutions to emerge.",premise,[186],{}
181,This is a crucial stage and we call on all parties to exercise calm and restraint.,claim,[187],{}
182,"In conclusion, I would like to raise a final warning call.",non-arg,[],{}
183,"The danger that now faces us is the failure of all our concerted efforts to build an international order that is not based on force, for today it is force alone that is seeking to impose the law.",claim,[188],{}
184,"I thank you, Madam President, for convening this emergency meeting on the situation in Ukraine.",non-arg,[],{}
185,I also thank Assistant Secretary-General Oscar Fernandez-Taranco for his briefing on the worrying situation in eastern Ukraine.,non-arg,[],{}
186,We are very alarmed by reports of increased tensions in eastern Ukraine in the past several days.,claim,[189],{}
187,We condemn the attack that killed a State security officer and wounded five others in the eastern city of Slovyansk.,claim,[190],{}
188,The perpetrators of that criminal act should be brought to justice.,claim,[191],{}
189,I take this opportunity to echo the Secretary-General's call to all sides to work towards calming the situation.,non-arg,[],{}
190,"After numerous calls for the de-escalation of the crisis, the situation has become more complex for the diverse Ukrainian community.",premise,[192],{}
191,It is imperative to protect the rights of the citizens of Ukraine regardless of ethnic background.,claim,[193],{}
192,"We reiterate our call for an inclusive dialogue, a frank and open discussion that is mutually beneficial for all the parties concerned.",claim,[194],{}
193,"Although Rwanda agrees in principle that Ukraine, like any other country, has a right to self-defence and to promote its territorial integrity, its acts should be proportional.",premise,[195],{}
194,We discourage any military act that would put the lives of innocent civilians in danger.,claim,[196],{}
195,Rwanda remains of the View that military action will only worsen the already tense situation.,premise,[197],{}
196,"We encourage all the parties involved, particularly in the current situation, to exercise full restraint.",claim,[198],{}
197,It is vital to allow the diplomatic efforts that have already been deployed to work.,claim,[199],{}
198,The international community cannot watch another crisis slip out of its hands.,premise,[200],{}
199,We must act on what we stand for - peace and security.,claim,[201],{}
200,"We welcome the discussion among the United States, Ukraine and Russia due to take place on 17 April.",claim,[202],{}
201,We encourage United Nations participation in those talks.,claim,[203],{}
202,"In conclusion, let me reiterate that the Security Council, the only world body in charge of maintaining international peace and security, must work towards restoring its own unity in order to be able to defend the unity, sovereignty and territorial integrity of a States Members of the United Nations, while addressing the interests of the countries of the region.",claim,[204],{}
203,We recognize that there are political interests involved.,premise,[205],{}
204,"However, we should not forget that ordinary Ukrainians are caught in the midst of this conflict; all they want and ask for is a peaceful country.",claim,"[206, 207]","{(206, 205): 'attack', (206, 207): 'support'}"
205,This we should all be mindful of.,claim,[208],{}
206,"Like all of us, Australia has watched the events in eastern Ukraine with mounting concern.",non-arg,[],{}
207,"What we have seen unfold is a coordinated operation where well-trained and well-armed paramilitary units have moved quickly to lay siege to, occupy and control key institutions in five or six towns in Donetsk province.",premise,"[209, 210]","{(209, 210): 'support'}"
208,The violence in Sloviansk has led to one death and nine wounded.,premise,[211],{}
209,The stakes are obviously dangerously high.,claim,[212],{}
210,"This has not been a spontaneous, grassroots, broad-based protest movement by local inhabitants; rather it is a pattern of highly orchestrated destabilization by pro-Russian groups.",claim,"[213, 214]","{(213, 210): 'support', (213, 216): 'support', (213, 215): 'support', (214, 210): 'support', (214, 217): 'support', (214, 215): 'support', (214, 216): 'support'}"
211,"Those groups have included units of highly trained armed men with Russian military equipment, operating without identifying insignia.",premise,[215],{}
212,Those units have used force to storm and besiege local Government buildings and institutions.,premise,[216],{}
213,"If all that sounds familiar, it is because we have seen the playbook used by Russia in Crimea.",premise,[217],{}
214,"In that case, it became clear that the militias were in fact Russian forces.",premise,[218],{}
215,We condemn any use ofproxy forces.,claim,[219],{}
216,A State cannot seek to avoid responsibility for its actions by attempting to cloak the identity of those working on its behalf.,claim,[220],{}
217,The principles of State responsibility make it very clear that a State bears international responsibility for acts undertaken by informal actors whom it engages on its behalf.,premise,[221],{}
218,"We have heard Russia's statement about the crisis taking place in eastern Ukraine, but what we are actually witnessing is Violence and destabilization in an effort to manufacture a sense of crisis and separatism.",claim,"[222, 223]","{(223, 226): 'support', (223, 222): 'attack', (223, 225): 'support'}"
219,Ukraine's response to those provocations has been one of restraint under intolerable threats to its stability and independence.,claim,[224],{}
220,There is no evidence of actions directed at Russian speakers in eastern Ukraine that could possibly justify an intervention by Russia.,premise,[225],{}
221,Nor is there the generalized anarchy claimed.,premise,[226],{}
222,"The ongoing work of the special mission of the Organization for Security and Cooperation in Europe is all the more important for providing an objective account of the situation in eastern Ukraine, and we welcome the information that the number of monitors will be significantly increased in coming days.",claim,[227],{}
223,International condemnation of Russia's actions against Ukraine in the past six weeks has been resounding.,premise,[228],{}
224,General Assembly resolution 68/262 unambiguously condemned the threat and use of force in this manner as contrary to the Charter of the United Nations and to Russia's specific treaty obligations to Ukraine.,premise,[229],{}
225,"Many countries, including my own, have imposed unilateral sanctions to register the depth of their concern.",premise,[230],{}
226,Repeated calls for de-escalation have been ignored.,claim,[231],{}
227,Russia's major military build-up along Ukraine's eastern border has been a significant and deliberation provocation that only further escalates tensions and the likelihood of conflict.,premise,[232],{}
228,"It deepens Russia's own isolation and also, of course, strengthens the resolve of the international community to stand with and support Ukraine as it seeks to maintain its sovereignty and territorial integrity.",claim,[233],{}
229,"The only way forward, as we all know, is de-escalation, dialogue and the free elections that are planned for 25 May.",premise,[234],{}
230,And Ukraine must be allowed to prepare for those elections without the interference and coercion we are witnessing.,claim,[235],{}
231,But talks can take place only with genuine commitment and good faith on all sides.,claim,[236],{}
232,"The talks between Russia, Ukraine, the European Union and the United States planned for 17 April are an essential step in that direction, but can take place successfully only on that basis.",premise,"[237, 238]","{(238, 237): 'support', (238, 239): 'attack'}"
233,Attempts to change the facts on the ground are completely contrary to dialogue and peaceful resolution.,premise,[239],{}
234,"We call on Russia to work immediately to reduce tensions, stop its destabilization and withdraw its forces from the provocative posture they have assumed on Ukraine's border.",claim,[240],{}
235,We have heard assurances in the past that Russia will take such action.,premise,[241],{}
236,It now really is imperative that it do so.,claim,[242],{}
237,I would like to thank Assistant Secretary-General Fernandez-Taranco for his briefing.,non-arg,[],{}
238,China is deeply worried about the recent escalation of the situation in Ukraine.,claim,[243],{}
239,"We hope that the relevant parties will remain calm, exercise restraint and avoid any further deterioration of the situation.",claim,[244],{}
240,Settling the question of Ukraine involves the interests and concerns of all parties.,premise,[245],{}
241,It should be considered in a balanced manner.,claim,[246],{}
