id,sentence_claim,sentence_premise,relation
65,"[81, 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']","[79, 'Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.']",support
66,"[81, 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']","[77, ""Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority.""]",support
67,"[82, ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]","[75, ""Ukraine's Government has reached out repeatedly to the separatists.""]",support
68,"[82, ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]","[76, ""In the most difficult of political and economic circumstances, Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions.""]",support
69,"[82, ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]","[77, ""Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority.""]",support
70,"[82, ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]","[79, 'Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.']",support
71,"[82, ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]","[80, 'Furthermore, amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.']",support
72,"[83, 'At the same time, when the existence of a State is put in danger, we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.']","[83, 'At the same time, when the existence of a State is put in danger, we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.']",support
73,"[83, 'At the same time, when the existence of a State is put in danger, we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.']","[85, 'The independence, sovereignty and territorial integrity of Ukraine are being threatened, and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.']",support
75,"[84, 'The international community and members of the Council should not be fooled by the pronouncements of the likes of Yanukovich and his corrupt cronies.']","[85, 'The independence, sovereignty and territorial integrity of Ukraine are being threatened, and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.']",support
76,"[86, 'We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.']","[85, 'The independence, sovereignty and territorial integrity of Ukraine are being threatened, and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.']",support
78,"[88, 'We call on Russia not to waste that opportunity.']","[87, 'The meeting among the United States, Russia, Ukraine and the European Union foreseen for 17 April in Geneva wold offer a viable chance for dialogue and diplomacy.']",support
79,"[90, 'The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda, while the Ukrainians are being confronted by incitement and violence.']","[90, 'The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda, while the Ukrainians are being confronted by incitement and violence.']",attack
80,"[91, 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']","[93, 'The Council has heard it publicly, and we have heard it privately.']",support
81,"[91, 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']","[92, 'The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.']",support
82,"[91, 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']","[97, ""Then, too, Russia said it was acting to protect minorities' rights.""]",support
83,"[91, 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']","[95, 'Then, too, officials from the Russian Federation spoke early on in the crisis and disclaimed any intention of occupying or invading.']",support
84,"[91, 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']","[94, 'Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']",support
85,"[94, 'Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']","[95, 'Then, too, officials from the Russian Federation spoke early on in the crisis and disclaimed any intention of occupying or invading.']",attack
86,"[94, 'Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']","[96, 'In the earlier Crimean case, highly organized, well-equipped and professional forces wearing Russian military uniforms and military gear without identifying insignia moved in first to take control of Crimean Government and security facilities, before being later replaced by regular Russian military forces.']",support
87,"[94, 'Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']","[94, 'Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']",support
88,"[94, 'Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']","[97, ""Then, too, Russia said it was acting to protect minorities' rights.""]",support
89,"[98, 'But the whole world now knows that they were not.']","[99, 'As the Organization for Security and Cooperation in Europe has reported, the minorities at risk in Crimea are Tatars and Ukrainians.']",support
90,"[98, 'But the whole world now knows that they were not.']","[101, ""Those armed units, some wearing black and orange Saint George's ribbons - associated with Russian Victory Day celebrations - raised Russian and separatist flags over seized buildings and have called for referendums and union with Russia.""]",support
91,"[98, 'But the whole world now knows that they were not.']","[97, ""Then, too, Russia said it was acting to protect minorities' rights.""]",attack
92,"[98, 'But the whole world now knows that they were not.']","[100, 'The Council has heard that there are no Russian troops in eastern Ukraine, but the fact is that many of the armed units that we have seen were outfitted in bullet-proof vests and camouflage uniforms with insignia removed.']",support
93,"[102, 'We know who is behind that; indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.']","[103, 'The synchronized surgical seizure of buildings yesterday occurred in towns along the main highway, followed by armed roadblocks, almost as ifa coordinated barrier were being formed between Kyiv and the major eastern cities of Donetsk and Luhansk.']",support
94,"[102, 'We know who is behind that; indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.']","[104, 'The Council does not have to take my word for it - or even that of the Ukrainian Government - it need only witness for itself the videos of professional military shepherding thugs into a building in Kramatorsk; the photographs showing the so-called concerned citizens taking over Sloviansk, equipped exactly like the elite troops that took Crimea; or the video of a military operation in Krasny Liman by armed men with the same equipment.']",support
95,"[102, 'We know who is behind that; indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.']","[102, 'We know who is behind that; indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.']",support
96,"[106, 'But the fact is that this is the saddest kind of instability: it is completely man-made.']","[105, 'The Council has heard laments about instability, as ifinstability were organic.']",attack
97,"[107, 'This instability was written and choreographed in and by Russia.']","[105, 'The Council has heard laments about instability, as ifinstability were organic.']",attack
98,"[110, 'The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.']","[112, 'On Monday, we will conclude the $1 billion loan guarantee for Ukraine.']",support
99,"[110, 'The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.']","[114, 'Next week, Vice-President Biden will visit Ukraine.']",support
100,"[110, 'The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.']","[113, 'That will benefit all the Ukrainian people, including minorities.']",support
101,"[111, 'We also stand with international law and norms and the fundamental principle that borders are not suggestions.']","[112, 'On Monday, we will conclude the $1 billion loan guarantee for Ukraine.']",support
102,"[111, 'We also stand with international law and norms and the fundamental principle that borders are not suggestions.']","[113, 'That will benefit all the Ukrainian people, including minorities.']",support
103,"[111, 'We also stand with international law and norms and the fundamental principle that borders are not suggestions.']","[114, 'Next week, Vice-President Biden will visit Ukraine.']",support
104,"[115, ""We strongly support concluding the agreement between Ukraine and the International Monetary Fund so that the international community can bolster Ukraine's economy.""]","[115, ""We strongly support concluding the agreement between Ukraine and the International Monetary Fund so that the international community can bolster Ukraine's economy.""]",support
105,"[116, ""And we will support in every way we can Ukraine's elections at the end of May so that Ukraine can advance its political transition and look to a peaceful future.""]","[116, ""And we will support in every way we can Ukraine's elections at the end of May so that Ukraine can advance its political transition and look to a peaceful future.""]",support
106,"[117, 'The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours, with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.']","[118, 'Street protests have given way to violent action.']",support
107,"[117, 'The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours, with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.']","[117, 'The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours, with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.']",support
108,"[119, 'That is a dangerous escalation of an already dangerous situation.']","[117, 'The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours, with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.']",support
109,"[119, 'That is a dangerous escalation of an already dangerous situation.']","[118, 'Street protests have given way to violent action.']",support
110,"[122, 'Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia, these events point clearly to Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']","[120, 'We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.']",support
111,"[122, 'Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia, these events point clearly to Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']","[121, 'That is a pattern that is all too familiar.']",support
112,"[122, 'Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia, these events point clearly to Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']","[122, 'Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia, these events point clearly to Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']",support
113,"[123, 'Such actions are contrary to international law, have already been condemned by the international community and have been declared invalid by the General Assembly.']","[120, 'We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.']",support
114,"[123, 'Such actions are contrary to international law, have already been condemned by the international community and have been declared invalid by the General Assembly.']","[122, 'Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia, these events point clearly to Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']",support
115,"[124, 'As a Member of the United Nations, and as a permanent member of the Security Council, Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.']","[124, 'As a Member of the United Nations, and as a permanent member of the Security Council, Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.']",support
116,"[124, 'As a Member of the United Nations, and as a permanent member of the Security Council, Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.']","[125, 'Yet satellite images show that there are between 35,000 and 40,000 Russian troops in the vicinity of the border with Ukraine, equipped with combat aircraft, tanks, artillery and logistical support units.']",attack
117,"[124, 'As a Member of the United Nations, and as a permanent member of the Security Council, Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.']","[126, 'That is in addition to the 25,000 Russian troops based illegally in Crimea.']",attack
118,"[129, 'That is false; additional images released on 11 April show clearly that the build-up started in early March of this year.']","[128, 'It claims that the publicly available satellite images illustrating that troop deployment were taken in August 2013.']",attack
119,"[129, 'That is false; additional images released on 11 April show clearly that the build-up started in early March of this year.']","[129, 'That is false; additional images released on 11 April show clearly that the build-up started in early March of this year.']",support
120,"[129, 'That is false; additional images released on 11 April show clearly that the build-up started in early March of this year.']","[127, ""Just as six weeks ago Russia denied deploying its troops to Crimea, it also now denies that it has amassed troops on Ukraine's eastern border.""]",attack
121,"[131, 'The United Kingdom calls on Russia immediately to redeploy its troops away from the border, cease all activity designed to heighten tensions and sow discord, and revoke the mandate given by the Federation Council on 1 March to use military force on Ukrainian soil.']","[130, ""Russia's aggressive stance is a clear threat to the sovereignty, independence and territorial integrity of Ukraine.""]",support
122,"[134, 'Russia must desist from those steps and address whatever grievances it has through dialogue, starting with the contact group talks scheduled for this coming week.']","[132, 'The Russian Federation has made little secret of its efforts to undermine the process of reconciliation in Ukraine.']",support
123,"[134, 'Russia must desist from those steps and address whatever grievances it has through dialogue, starting with the contact group talks scheduled for this coming week.']","[133, 'Rather than assisting its neighbours in rebuilding their country after the fall of a deeply corrupt regime that left the nation on the verge of bankruptcy, Russia has instead sought to destabilize the country further in pursuit of its narrow interests.']",support
