ID,Speech,Sentence_ID,Full_Sentence,Component,Component_Type,Premises
11,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,11,"On the eve of 13 April, authorities in Kyiv launched an ""anti-terror"" operation to reclaim Sloviansk, a day after it was overrun by pro-separatist activists, whom the United Nations human rights monitors on the ground have described as well-armed and well-organized militiamen.","[9, 'On the eve of 13 April, authorities in Kyiv launched an ""anti-terror"" operation to reclaim Sloviansk, a day after it was overrun by pro-separatist activists, whom the United Nations human rights monitors on the ground have described as well-armed and well-organized militiamen.']",premise,{}
12,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,12,"As of 13 April, at least one Ukrainian officer has been killed in a gun battle; however, the exact number of casualties in the skirmishes remains unknown.","[10, 'As of 13 April, at least one Ukrainian officer has been killed in a gun battle; however, the exact number of casualties in the skirmishes remains unknown.']",premise,{}
13,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,13,Numerous others have been reported wounded.,"[11, 'Numerous others have been reported wounded.']",premise,{}
14,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,14,"Also today, Ukraine's acting President, Oleksandr Turchynov, signed a presidential decree, giving the self-declared separatists until 6 am.","[12, ""Also today, Ukraine's acting President, Oleksandr Turchynov, signed a presidential decree, giving the self-declared separatists until 6 am.""]",premise,{}
15,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,15,Kyiv time to give up their weapons in order to avoid prosecution.,"[13, 'Kyiv time to give up their weapons in order to avoid prosecution.']",premise,{}
16,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,16,"The President further declared in a televised address to the nation that if illegal activities were not halted, a full-scale operation involving the Ukrainian army would be launched.","[14, 'The President further declared in a televised address to the nation that if illegal activities were not halted, a full-scale operation involving the Ukrainian army would be launched.']",premise,{}
17,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,17,"The Russian Federation has publicly stated on several occasions that it would be ""forced to act"" if Kyiv were to employ force against demonstrators in the East.","[15, 'The Russian Federation has publicly stated on several occasions that it would be ""forced to act"" if Kyiv were to employ force against demonstrators in the East.']",premise,{}
18,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,18,The situation is therefore now more combustible than ever.,"[16, 'The situation is therefore now more combustible than ever.']",claim,"{13: 'support', 12: 'support', 14: 'support', 15: 'support'}"
19,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,19,The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.,"[17, 'The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.']",premise,{}
20,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,20,The Secretary-General has continued to speak out for the exercise of maximum restraint by all concerned and strict adherence to international law.,"[18, 'The Secretary-General has continued to speak out for the exercise of maximum restraint by all concerned and strict adherence to international law.']",claim,{17: 'support'}
21,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,21,He also continues to urge all others with influence on the situation to immediately and publicly call for restraint and a return to calm.,"[19, 'He also continues to urge all others with influence on the situation to immediately and publicly call for restraint and a return to calm.']",claim,{17: 'support'}
22,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,22,"The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.","[20, 'The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.']",claim,{17: 'support'}
23,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,23,It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.,"[21, 'It has become painfully evident that the Ukraine crisis will continue to deepen']",claim,{22: 'support'}
24,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,23,It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.,"[22, 'if intensive efforts are not urgently made by all concerned to de-escalate the situation.']",premise,{}
25,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,24,"At this moment, Ukraine teeters on the very brink.","[23, 'At this moment, Ukraine teeters on the very brink.']",claim,{22: 'support'}
26,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,25,"However, it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.","[24, 'it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.']",premise,{}
27,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,26,"Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.","[25, 'Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.']",claim,{24: 'support'}
28,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,27,Such scenarios will also have repercussions for the entire international community.,"[26, 'Such scenarios will also have repercussions for the entire international community.']",claim,{24: 'support'}
29,UNSC_2014_SPV.7154_spch004_RF_neg,28,The Russian Federation has called for this emergency meeting of the Security Council because of the serious dangerous evolution of the situation in south-eastern Ukraine.,non-arg,non-arg,non-arg
30,UNSC_2014_SPV.7154_spch004_RF_neg,29,"We have pointed out on several occasions, including in this Chamber, that the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society.","[27, ""the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society""]",claim,{28: 'support'}
31,UNSC_2014_SPV.7154_spch004_RF_neg,30,"The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.","[28, 'The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.']",premise,{}
32,UNSC_2014_SPV.7154_spch004_RF_neg,31,Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.,"[29, 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",claim,"{28: 'support', 30: 'support', 31: 'support', 32: 'support', 33: 'support', 34: 'support', 36: 'support', 35: 'support'}"
33,UNSC_2014_SPV.7154_spch004_RF_neg,32,"A few days ago, a member of Parliament belonging to the chauvinist Svoboda party said this about the Russian-speaking inhabitants of Ukraine: ""I would have acted much more harshly.","[30, 'A few days ago, a member of Parliament belonging to the chauvinist Svoboda party said this about the Russian-speaking inhabitants of Ukraine: ""I would have acted much more harshly.']",premise,{}
34,UNSC_2014_SPV.7154_spch004_RF_neg,33,I would simply have shot them.,"[31, 'I would simply have shot them.']",premise,{}
35,UNSC_2014_SPV.7154_spch004_RF_neg,34,The enemy is prevailing in our land.,"[32, 'The enemy is prevailing in our land.']",premise,{}
36,UNSC_2014_SPV.7154_spch004_RF_neg,35,They should have been chased out in 1654.,"[33, 'They should have been chased out in 1654.']",premise,{}
37,UNSC_2014_SPV.7154_spch004_RF_neg,36,"These creatures deserve only one thing - death."" It should be noted that this was said by a woman.","[34, 'These creatures deserve only one thing - death.""']",premise,{}
38,UNSC_2014_SPV.7154_spch004_RF_neg,36,"These creatures deserve only one thing - death."" It should be noted that this was said by a woman.","[35, 'It should be noted that this was said by a woman.']",premise,{}
39,UNSC_2014_SPV.7154_spch004_RF_neg,37,We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.,"[36, 'We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.']",premise,{}
40,UNSC_2014_SPV.7154_spch004_RF_neg,38,And that is not even the most radical group on the Ukrainian political spectrum.,non-arg,non-arg,non-arg
41,UNSC_2014_SPV.7154_spch004_RF_neg,39,Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?,"[37, 'Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?']",claim,"{36: 'support', 45: 'support', 42: 'support'}"
42,UNSC_2014_SPV.7154_spch004_RF_neg,40,"The events of the past two days have shown that, following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.","[38, 'The events of the past two days have shown that,']",premise,{}
43,UNSC_2014_SPV.7154_spch004_RF_neg,40,"The events of the past two days have shown that, following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.","[39, 'following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.']",claim,"{38: 'support', 40: 'support'}"
44,UNSC_2014_SPV.7154_spch004_RF_neg,41,"Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.","[40, 'Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.']",premise,{}
45,UNSC_2014_SPV.7154_spch004_RF_neg,42,What is the situation today?,non-arg,non-arg,non-arg
46,UNSC_2014_SPV.7154_spch004_RF_neg,43,We have been told that restraint will be exercised and a peaceful solution found to the situation that takes into account the opinions of the various groupings of the Ukrainian population.,non-arg,non-arg,non-arg
47,UNSC_2014_SPV.7154_spch004_RF_neg,44,That has been confirmed by our Western interlocutors.,non-arg,non-arg,non-arg
48,UNSC_2014_SPV.7154_spch004_RF_neg,45,"However, on 13 April the Verkhovna Rada-appointed President Turchynov stated that the Ukrainian Security Council had decided to launch a full-scale anti-terrorist operation, including the use of the armed forces.","[41, 'However, on 13 April the Verkhovna Rada-appointed President Turchynov stated that the Ukrainian Security Council had decided to launch a full-scale anti-terrorist operation, including the use of the armed forces.']",premise,{}
49,UNSC_2014_SPV.7154_spch004_RF_neg,46,"However, unlike the Maidan demonstrators, the protesters have terrorized no one, have used no bulldozers against the authorioties, and thrown no Molotov cocktails.","[42, 'However, unlike the Maidan demonstrators, the protesters have terrorized no one, have used no bulldozers against the authorioties, and thrown no Molotov cocktails.']",premise,{}
50,UNSC_2014_SPV.7154_spch004_RF_neg,47,It is no coincidence that law-enforcement officers were present among the Maidan protestors.,"[43, 'It is no coincidence that law-enforcement officers were present among the Maidan protestors.']",premise,{}
51,UNSC_2014_SPV.7154_spch004_RF_neg,48,Now the Kyiv authorities must use force to suppress other areas of the country.,non-arg,non-arg,non-arg
52,UNSC_2014_SPV.7154_spch004_RF_neg,49,"According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used.","[44, 'According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used']",premise,{}
53,UNSC_2014_SPV.7154_spch004_RF_neg,50,"However, the protesters' interests and opinions have not been taken into account or even discussed.","[45, ""However, the protesters' interests and opinions have not been taken into account or even discussed.""]",premise,{}
54,UNSC_2014_SPV.7154_spch004_RF_neg,51,"As a result, blood has already been shed in the South-East and the situation is extremely dangerous.","[46, 'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.']",claim,"{41: 'support', 43: 'support', 44: 'support'}"
55,UNSC_2014_SPV.7154_spch004_RF_neg,52,Any further escalation of the situation must be swiftly stopped.,"[47, 'Any further escalation of the situation must be swiftly stopped.']",claim,{44: 'support'}
56,UNSC_2014_SPV.7154_spch004_RF_neg,53,The international community must require the Maidan henchmen who seized power in Kyiv to cease their war against their own people and to implement all the commitments under the 21 February agreement.,"[48, 'The international community must require the Maidan henchmen who seized power in Kyiv to cease their war against their own people and to implement all the commitments under the 21 February agreement.']",claim,{52: 'support'}
57,UNSC_2014_SPV.7154_spch004_RF_neg,54,"The Western sponsors of the Maidan henchmen, in particular those who stood as witnesses to the agreement and the United States, which is their backer, are obligated to end their support, dissociate themselves from neo-Nazis and other extremists, stop the use of force against the Ukrainian people, and begin forthwith a genuine national dialogue with the full participation of all regions, in the interests of the speedy implementation of radical constitutional reform.","[49, 'The Western sponsors of the Maidan henchmen, in particular those who stood as witnesses to the agreement and the United States, which is their backer, are obligated to end their support, dissociate themselves from neo-Nazis and other extremists, stop the use of force against the Ukrainian people, and begin forthwith a genuine national dialogue with the full participation of all regions, in the interests of the speedy implementation of radical constitutional reform.']",claim,{52: 'support'}
58,UNSC_2014_SPV.7154_spch004_RF_neg,55,It is the West that must determine the opportunity for avoiding civil war in Ukraine.,"[50, 'It is the West that must determine the opportunity for avoiding civil war in Ukraine.']",claim,{51: 'support'}
59,UNSC_2014_SPV.7154_spch004_RF_neg,56,"Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.","[51, 'Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.']",premise,{}
60,UNSC_2014_SPV.7154_spch004_RF_neg,57,Enough is enough.,"[52, 'Enough is enough.']",premise,{}
61,UNSC_2014_SPV.7154_spch004_RF_neg,58,"They must stop claiming that we have deployed our army along the border with that country and are practically already at the English Channel, and that we have sent agents to coordinate the protests in Ukraine.","[53, 'They must stop claiming that we have deployed our army along the border with that country and are practically already at the English Channel, and that we have sent agents to coordinate the protests in Ukraine.']",claim,{51: 'support'}
62,UNSC_2014_SPV.7154_spch004_RF_neg,59,"It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.","[54, 'It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.']",claim,"{52: 'support', 51: 'support'}"
63,UNSC_2014_SPV.7154_spch005_LT,60,"I wish to thank you, Madam President, for convening this meeting.",non-arg,non-arg,non-arg
64,UNSC_2014_SPV.7154_spch005_LT,61,I also wish to thank Assistant Secretary-General Oscar Fernandez-Taranco for his briefing.,non-arg,non-arg,non-arg
65,UNSC_2014_SPV.7154_spch005_LT,62,Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.,"[55, 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']",claim,"{61: 'support', 58: 'support', 56: 'support', 59: 'support', 60: 'support'}"
66,UNSC_2014_SPV.7154_spch005_LT,63,"External forces and local provocateurs continue to fuel separatism and hatred, destabilizing the situation in eastern Ukraine on the eve of the 25 May elections.","[56, 'External forces and local provocateurs continue to fuel separatism and hatred, destabilizing the situation in eastern Ukraine on the eve of the 25 May elections.']",premise,{}
67,UNSC_2014_SPV.7154_spch005_LT,64,The scenario is dangerously familiar.,"[57, 'The scenario is dangerously familiar.']",claim,"{61: 'support', 58: 'support', 59: 'support', 60: 'support'}"
68,UNSC_2014_SPV.7154_spch005_LT,65,"Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.","[58, 'Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.']",premise,{}
69,UNSC_2014_SPV.7154_spch005_LT,66,"Again, considerable Russian troops are massed on Ukraine's borders.","[59, ""Again, considerable Russian troops are massed on Ukraine's borders.""]",premise,{}
70,UNSC_2014_SPV.7154_spch005_LT,67,"Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.","[60, 'Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.']",premise,{}
71,UNSC_2014_SPV.7154_spch005_LT,68,"Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment.","[61, ""Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment""]",premise,{}
72,UNSC_2014_SPV.7154_spch005_LT,69,"Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.","[62, ""Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia""]",claim,"{64: 'attack', 63: 'attack'}"
73,UNSC_2014_SPV.7154_spch005_LT,69,"Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.","[63, 'recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.']",premise,{}
74,UNSC_2014_SPV.7154_spch005_LT,70,"In fact, about 65 per cent of the region's residents, according to opinion polls, have expressed their desire to remain part of Ukraine, while only 18.2 per cent want to join Russia.","[64, ""about 65 per cent of the region's residents, according to opinion polls, have expressed their desire to remain part of Ukraine, while only 18.2 per cent want to join Russia.""]",premise,{}
75,UNSC_2014_SPV.7154_spch005_LT,71,"Tragically, bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.","[65, 'bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.']",premise,{}
76,UNSC_2014_SPV.7154_spch005_LT,72,"It is as clear as day that, in spite of the reassurances we heard from Moscow a few weeks ago, military aggression against Ukraine and its sovereignty, independence, and territorial integrity has not stopped with Crimea.","[66, 'It is as clear as day that, in spite of the reassurances we heard from Moscow a few weeks ago, military aggression against Ukraine and its sovereignty, independence, and territorial integrity has not stopped with Crimea.']",claim,{65: 'support'}
77,UNSC_2014_SPV.7154_spch005_LT,73,"My Government strongly condemns the actions of the separatist groups and their sponsors in the Donetsk region, as well as in the regions of Luhansk and Kharkiv.","[67, 'My Government strongly condemns the actions of the separatist groups and their sponsors in the Donetsk region, as well as in the regions of Luhansk and Kharkiv.']",claim,{65: 'support'}
78,UNSC_2014_SPV.7154_spch005_LT,74,Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.,"[68, 'Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.']",claim,"{70: 'support', 69: 'support'}"
79,UNSC_2014_SPV.7154_spch005_LT,75,Ukraine's Government has reached out repeatedly to the separatists.,"[69, ""Ukraine's Government has reached out repeatedly to the separatists.""]",premise,{}
80,UNSC_2014_SPV.7154_spch005_LT,76,"In the most difficult of political and economic circumstances, Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions.","[70, ""Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions.""]",premise,{}
81,UNSC_2014_SPV.7154_spch005_LT,77,Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority.,"[71, ""Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority.""]",premise,{}
82,UNSC_2014_SPV.7154_spch005_LT,78,"That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.","[72, 'That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.']",claim,{71: 'support'}
83,UNSC_2014_SPV.7154_spch005_LT,79,Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.,"[73, 'Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.']",premise,{}
84,UNSC_2014_SPV.7154_spch005_LT,80,"Furthermore, amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.","[74, 'amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.']",premise,{}
85,UNSC_2014_SPV.7154_spch005_LT,81,"It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.","[75, 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']",claim,"{74: 'support', 69: 'support', 70: 'support', 73: 'support', 71: 'support'}"
86,UNSC_2014_SPV.7154_spch005_LT,82,We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.,"[76, ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]",claim,"{69: 'support', 70: 'support', 71: 'support', 73: 'support', 74: 'support'}"
87,UNSC_2014_SPV.7154_spch005_LT,83,"At the same time, when the existence of a State is put in danger, we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.","[77, 'when the existence of a State is put in danger,']",premise,{}
88,UNSC_2014_SPV.7154_spch005_LT,83,"At the same time, when the existence of a State is put in danger, we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.","[78, 'we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.']",claim,"{77: 'support', 80: 'support', 81: 'support'}"
89,UNSC_2014_SPV.7154_spch005_LT,84,The international community and members of the Council should not be fooled by the pronouncements of the likes of Yanukovich and his corrupt cronies.,"[79, 'The international community and members of the Council should not be fooled by the pronouncements of the likes of Yanukovich and his corrupt cronies.']",claim,{80: 'support'}
90,UNSC_2014_SPV.7154_spch005_LT,85,"The independence, sovereignty and territorial integrity of Ukraine are being threatened, and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.","[80, 'The independence, sovereignty and territorial integrity of Ukraine are being threatened,']",premise,{}
91,UNSC_2014_SPV.7154_spch005_LT,85,"The independence, sovereignty and territorial integrity of Ukraine are being threatened, and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.","[81, 'and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.']",premise,{}
92,UNSC_2014_SPV.7154_spch005_LT,86,"We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.","[82, 'We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.']",claim,"{80: 'support', 81: 'support'}"
93,UNSC_2014_SPV.7154_spch005_LT,87,"The meeting among the United States, Russia, Ukraine and the European Union foreseen for 17 April in Geneva wold offer a viable chance for dialogue and diplomacy.","[83, 'The meeting among the United States, Russia, Ukraine and the European Union foreseen for 17 April in Geneva wold offer a viable chance for dialogue and diplomacy.']",premise,{}
94,UNSC_2014_SPV.7154_spch005_LT,88,We call on Russia not to waste that opportunity.,"[84, 'We call on Russia not to waste that opportunity.']",claim,{83: 'support'}
95,UNSC_2014_SPV.7154_spch006_USA,89,The human stakes of what is happening in Ukraine are extremely high.,"[85, 'The human stakes of what is happening in Ukraine are extremely high.']",claim,standalone
96,UNSC_2014_SPV.7154_spch006_USA,90,"The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda, while the Ukrainians are being confronted by incitement and violence.","[86, 'The lives of innocent civilians are at risk']",premise,{}
97,UNSC_2014_SPV.7154_spch006_USA,90,"The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda, while the Ukrainians are being confronted by incitement and violence.","[87, 'we are being bombarded by Russian disinformation and propaganda']",claim,{86: 'attack'}
98,UNSC_2014_SPV.7154_spch006_USA,90,"The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda, while the Ukrainians are being confronted by incitement and violence.","[88, 'while the Ukrainians are being confronted by incitement and violence.']",claim,standalone
99,UNSC_2014_SPV.7154_spch006_USA,91,"Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.","[89, 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']",claim,"{91: 'support', 90: 'support', 96: 'support', 94: 'support', 92: 'support'}"
100,UNSC_2014_SPV.7154_spch006_USA,92,"The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.","[90, 'The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.']",premise,{}
101,UNSC_2014_SPV.7154_spch006_USA,93,"The Council has heard it publicly, and we have heard it privately.","[91, 'The Council has heard it publicly, and we have heard it privately.']",premise,{}
102,UNSC_2014_SPV.7154_spch006_USA,94,"Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.","[92, 'the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today,']",premise,{}
