id,ids of components,two_components,relation type
133,"[152, 153]","['Russia is seeking to impose its will on the people of Ukraine by using misinformation, intimidation and aggression - tactics drawn from the darkest days of the past century.', 'That is completely unacceptable.']",support
134,"[155, 154]","['On 25 May Ukraine will elect a new president.', 'The Ukrainian people have the right to determine their own future free from Russian interference.']",support
135,"[156, 157]","[""The Ukrainian Government has stated clearly that its programme of constitutional reform will include discussions on the degree of autonomy devolved to Ukraine's regions."", 'That is a clear pathway to resolve differences through peaceful, constitutional means.']",support
136,"[158, 157]","['The use of armed force that we are now witnessing in eastern Ukraine to impose one set of views on the peaceful majority is therefore entirely without justification.', 'That is a clear pathway to resolve differences through peaceful, constitutional means.']",support
137,"[158, 159]","['The use of armed force that we are now witnessing in eastern Ukraine to impose one set of views on the peaceful majority is therefore entirely without justification.', 'Moscow must reject these latest unlawful actions, and do so publicly.']",support
138,"[160, 161]","['Since yesterday, we have seen the abrupt and simultaneous outbreak of violence in eastern Ukraine:', 'nothing about it was spontaneous.']",support
139,"[160, 162]","['Since yesterday, we have seen the abrupt and simultaneous outbreak of violence in eastern Ukraine:', 'France condemns the violence.']",support
140,"[166, 165]","['simultaneous action by a small but trained group of aggressive activists determined to occupy territory, followed by the presence of disciplined, masked men wearing uniforms and armed with weapons of war that are not found in military surplus', 'The scenario we are seeing reminds one of the events that took place in Crimea one month ago:']",support
141,"[167, 168]","['Those facts, which come to us through the waves of images on the Internet, are the same as the ones that Russia labelled a month ago as spontaneous demonstrations by local self-defence groups.', 'Russia is unaware ofthe existence of the Internet and that it serves to contradict its denials.']",support
142,"[174, 168]","['Russia is systematically bombarding Ukraine with a message of defiance vis-a-vis Kyiv via the airwaves and television channels, which, for many people who do not have access to various sources of information, is the only message they hear.', 'Russia is unaware ofthe existence of the Internet and that it serves to contradict its denials.']",attack
143,"[166, 169]","['simultaneous action by a small but trained group of aggressive activists determined to occupy territory, followed by the presence of disciplined, masked men wearing uniforms and armed with weapons of war that are not found in military surplus', 'Let us not forget that such protests were a prelude to the annexation of Crimea.']",support
