Component,Label
"However, on 13 April the Verkhovna Rada-appointed President Turchynov stated that the Ukrainian Security Council had decided to launch a full-scale anti-terrorist operation, including the use of the armed forces.",premise
"However, unlike the Maidan demonstrators, the protesters have terrorized no one, have used no bulldozers against the authorioties, and thrown no Molotov cocktails.",premise
It is no coincidence that law-enforcement officers were present among the Maidan protestors.,premise
"According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used",premise
"However, the protesters' interests and opinions have not been taken into account or even discussed.",premise
"As a result, blood has already been shed in the South-East and the situation is extremely dangerous.",claim
Any further escalation of the situation must be swiftly stopped.,claim
The international community must require the Maidan henchmen who seized power in Kyiv to cease their war against their own people and to implement all the commitments under the 21 February agreement.,claim
"The Western sponsors of the Maidan henchmen, in particular those who stood as witnesses to the agreement and the United States, which is their backer, are obligated to end their support, dissociate themselves from neo-Nazis and other extremists, stop the use of force against the Ukrainian people, and begin forthwith a genuine national dialogue with the full participation of all regions, in the interests of the speedy implementation of radical constitutional reform.",claim
It is the West that must determine the opportunity for avoiding civil war in Ukraine.,claim
"Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.",premise
Enough is enough.,premise
"They must stop claiming that we have deployed our army along the border with that country and are practically already at the English Channel, and that we have sent agents to coordinate the protests in Ukraine.",claim
"It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.",claim
Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.,claim
"External forces and local provocateurs continue to fuel separatism and hatred, destabilizing the situation in eastern Ukraine on the eve of the 25 May elections.",premise
The scenario is dangerously familiar.,premise
"Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.",premise
"Again, considerable Russian troops are massed on Ukraine's borders.",premise
"Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.",premise
"Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment",premise
"Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.",premise
"about 65 per cent of the region's residents, according to opinion polls, have expressed their desire to remain part of Ukraine, while only 18.2 per cent want to join Russia.",premise
bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.,premise
"It is as clear as day that, in spite of the reassurances we heard from Moscow a few weeks ago, military aggression against Ukraine and its sovereignty, independence, and territorial integrity has not stopped with Crimea.",claim
"My Government strongly condemns the actions of the separatist groups and their sponsors in the Donetsk region, as well as in the regions of Luhansk and Kharkiv.",claim
Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.,claim
Ukraine's Government has reached out repeatedly to the separatists.,premise
"Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions.",premise
Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority.,premise
"That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.",claim
Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.,premise
"Furthermore, amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.",premise
"It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity,",claim
to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.,claim
We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.,claim
"when the existence of a State is put in danger,",premise
we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.,claim
The international community and members of the Council should not be fooled by the pronouncements of the likes of Yanukovich and his corrupt cronies.,premise
"The independence, sovereignty and territorial integrity of Ukraine are being threatened,",premise
"and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.",premise
"We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.",claim
"The meeting among the United States, Russia, Ukraine and the European Union foreseen for 17 April in Geneva wold offer a viable chance for dialogue and diplomacy.",premise
We call on Russia not to waste that opportunity.,claim
The human stakes of what is happening in Ukraine are extremely high.,claim
"The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda",premise
the Ukrainians are being confronted by incitement and violence.,premise
"Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.",claim
"The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.",premise
"The Council has heard it publicly, and we have heard it privately.",premise
"the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today,",premise
mirrors the tactics Russian forces used in the early stages of the Crimea invasion.,claim
"Then, too, officials from the Russian Federation spoke early on in the crisis and disclaimed any intention of occupying or invading.",premise
"In the earlier Crimean case, highly organized, well-equipped and professional forces wearing Russian military uniforms and military gear without identifying insignia moved in first to take control of Crimean Government and security facilities, before being later replaced by regular Russian military forces.",premise
"Then, too, Russia said it was acting to protect minorities' rights.",premise
But the whole world now knows that they were not.,claim
"As the Organization for Security and Cooperation in Europe has reported, the minorities at risk in Crimea are Tatars and Ukrainians.",premise
"The Council has heard that there are no Russian troops in eastern Ukraine, but the fact is that many of the armed units that we have seen were outfitted in bullet-proof vests and camouflage uniforms with insignia removed.",premise
"Those armed units, some wearing black and orange Saint George's ribbons - associated with Russian Victory Day celebrations - raised Russian and separatist flags over seized buildings and have called for referendums and union with Russia.",premise
"indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.",claim
"The synchronized surgical seizure of buildings yesterday occurred in towns along the main highway, followed by armed roadblocks, almost as ifa coordinated barrier were being formed between Kyiv and the major eastern cities of Donetsk and Luhansk.",premise
"it need only witness for itself the videos of professional military shepherding thugs into a building in Kramatorsk; the photographs showing the so-called concerned citizens taking over Sloviansk, equipped exactly like the elite troops that took Crimea; or the video of a military operation in Krasny Liman by armed men with the same equipment.",premise
"The Council has heard laments about instability, as ifinstability were organic.",premise
But the fact is that this is the saddest kind of instability: it is completely man-made.,claim
This instability was written and choreographed in and by Russia.,claim
"We continue efforts to de-escalate the situation in Ukraine and find a diplomatic path forward, which is why Secretary Kerry will participate in the Geneva talks on 17 April, which will include Russian Foreign Minister Lavrov.",claim
"Russia will have to explain why its forces continue to mass on the Ukrainian border - at least 40,000 forces",claim
it will have to come with constructive ideas on how to de-escalate and resolve the armed attacks on buildings in eastern Ukraine.,claim
The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.,claim
We also stand with international law and norms and the fundamental principle that borders are not suggestions.,claim
"On Monday, we will conclude the $1 billion loan guarantee for Ukraine.",premise
"That will benefit all the Ukrainian people, including minorities",premise
"Next week, Vice-President Biden will visit Ukraine.",premise
We strongly support concluding the agreement between Ukraine and the International Monetary Fund so that the international community can bolster Ukraine's economy.,claim
And we will support in every way we can Ukraine's elections at the end of May so that Ukraine can advance its political transition and look to a peaceful future.,claim
"The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours",claim
with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.,premise
Street protests have given way to violent action.,premise
That is a dangerous escalation of an already dangerous situation.,claim
"We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.",premise
That is a pattern that is all too familiar.,premise
Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia,premise
Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.,claim
"Such actions are contrary to international law, have already been condemned by the international community and have been declared invalid by the General Assembly.",claim
"As a Member of the United Nations, and as a permanent member of the Security Council,",premise
Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.,claim
"Yet satellite images show that there are between 35,000 and 40,000 Russian troops in the vicinity of the border with Ukraine, equipped with combat aircraft, tanks, artillery and logistical support units.",premise
"That is in addition to the 25,000 Russian troops based illegally in Crimea.",premise
"Just as six weeks ago Russia denied deploying its troops to Crimea, it also now denies that it has amassed troops on Ukraine's eastern border.",premise
the publicly available satellite images illustrating that troop deployment were taken in August 2013.,premise
That is false;,claim
additional images released on 11 April show clearly that the build-up started in early March of this year.,premise
"Russia's aggressive stance is a clear threat to the sovereignty, independence and territorial integrity of Ukraine.",claim
"The United Kingdom calls on Russia immediately to redeploy its troops away from the border, cease all activity designed to heighten tensions and sow discord, and revoke the mandate given by the Federation Council on 1 March to use military force on Ukrainian soil.",claim
The Russian Federation has made little secret of its efforts to undermine the process of reconciliation in Ukraine.,premise
"Rather than assisting its neighbours in rebuilding their country after the fall of a deeply corrupt regime that left the nation on the verge of bankruptcy, Russia has instead sought to destabilize the country further in pursuit of its narrow interests.",premise
"Russia must desist from those steps and address whatever grievances it has through dialogue, starting with the contact group talks scheduled for this coming week.",claim
The international community is not fooled by the Kremlin's use of propaganda and misinformation to spread fears among the population of eastern Ukraine.,claim
the recent demonstrations in eastern cities are not organic.,claim
"They do not enjoy widespread support, and the numbers of genuine protestors on the streets pale in comparison to the crowds of hundreds of thousands who protested against the former regime.",premise
what we are witnessing is a well-orchestrated campaign designed to destabilize the country.,claim
"If Russia really has genuine concerns about Ukraine's Russian-speaking population, then its actions have done nothing to safeguard their interests.",premise
"The illegal annexation of Crimea, stoking tensions and provoking violence in eastern Ukraine, hurt and endanger all the people of Ukraine.",premise
Their presence is designed to safeguard the rights of all the citizens of Ukraine.,claim
we fully support their work,claim
"Russia is seeking to impose its will on the people of Ukraine by using misinformation, intimidation and aggression - tactics drawn from the darkest days of the past century.",premise
That is completely unacceptable.,claim
The Ukrainian people have the right to determine their own future free from Russian interference.,claim
The Ukrainian Government has stated clearly that its programme of constitutional reform will include discussions on the degree of autonomy devolved to Ukraine's regions.,premise
"That is a clear pathway to resolve differences through peaceful, constitutional means.",claim
The use of armed force that we are now witnessing in eastern Ukraine to impose one set of views on the peaceful majority is therefore entirely without justification.,premise
"Moscow must reject these latest unlawful actions, and do so publicly.",claim
"Since yesterday, we have seen the abrupt and simultaneous outbreak of violence in eastern Ukraine:",premise
nothing about it was spontaneous.,claim
France condemns the violence.,claim
We call on all parties to exercise restraint and dialogue so that a peaceful solution to the crisis quickly emerges.,claim
Everyone must work towards de-escalation.,claim
The scenario we are seeing reminds one of the events that took place in Crimea one month ago:,claim
"simultaneous action by a small but trained group of aggressive activists determined to occupy territory, followed by the presence of disciplined, masked men wearing uniforms and armed with weapons of war that are not found in military surplus",premise
"Those facts, which come to us through the waves of images on the Internet, are the same as the ones that Russia labelled a month ago as spontaneous demonstrations by local self-defence groups.",premise
Russia is unaware ofthe existence of the Internet and that it serves to contradict its denials.,claim
Let us not forget that such protests were a prelude to the annexation of Crimea.,claim
"Moreover, the build-up of Russian troops for several weeks now - under the guise of military exercises - casts an ominous shadow over eastern Ukraine.",claim
"Further still, the economic pressure is becoming more biting.",claim
"Without dialogue with the Ukrainian side, which it has taken by the throat, Russia has brutally raised the price of gas.",premise
"It blocks the entry of goods at the border between Russia and Ukraine, no doubt in an effort to stifle a country it calls its brother",premise
"Russia is systematically bombarding Ukraine with a message of defiance vis-a-vis Kyiv via the airwaves and television channels, which, for many people who do not have access to various sources of information, is the only message they hear.",premise
"It is against that backdrop that France commends the level-headedness of Ukrainian officials who, against that destabilizing torrent of events, seek to resolve the crisis through dialogue.",claim
"We encourage the authorities in Kyiv to continue their efforts for cooler heads to prevail, enter into a constructive dialogue and reassure people about their place in Ukraine.",claim
"The future of Ukraine should not, and cannot, be up to anyone else but the Ukrainians themselves.",premise
"We should support the Ukrainian authorities in organizing elections, under the best of conditions, that ensure that everyone is represented.",claim
Our message has always been clear that the presidential election scheduled for 25 May must be free and transparent and guaranteed by the presence of international observers.,claim
We reiterate our commitment to the territorial integrity of Ukraine.,claim
"We call on Russia commit to de-escalation and to condemn, along with the rest of the Council, the attempts at destabilization carried out by armed groups in eastern Ukraine.",claim
We also call on Russia to fully assume its role as a permanent member of the Security Council.,claim
"Russia is a guarantor of peace and security in the world, both in the larger world and in its immediate neighbourhood.",premise
Russia must today put its full weight behind helping Ukraine regain stability.,claim
It must show itself up to the task ofplaying the role it wishes to play as a pillar of Euro-Asian stability.,claim
"We hope that the proposed meeting on 17 April among Russia, Ukraine, the United States and the European Union will be held and that it makes it possible for solutions to emerge.",premise
we call on all parties to exercise calm and restraint.,claim
"The danger that now faces us is the failure of all our concerted efforts to build an international order that is not based on force, for today it is force alone that is seeking to impose the law.",claim
We are very alarmed by reports of increased tensions in eastern Ukraine in the past several days.,claim
We condemn the attack that killed a State security officer and wounded five others in the eastern city of Slovyansk.,claim
The perpetrators of that criminal act should be brought to justice.,claim
"After numerous calls for the de-escalation of the crisis, the situation has become more complex for the diverse Ukrainian community.",premise
It is imperative to protect the rights of the citizens of Ukraine regardless of ethnic background.,claim
"We reiterate our call for an inclusive dialogue, a frank and open discussion that is mutually beneficial for all the parties concerned.",claim
"Although Rwanda agrees in principle that Ukraine, like any other country, has a right to self-defence and to promote its territorial integrity, its acts should be proportional.",premise
We discourage any military act that would put the lives of innocent civilians in danger.,claim
Rwanda remains of the View that military action will only worsen the already tense situation.,premise
"We encourage all the parties involved, particularly in the current situation, to exercise full restraint.",claim
It is vital to allow the diplomatic efforts that have already been deployed to work.,claim
The international community cannot watch another crisis slip out of its hands.,premise
We must act on what we stand for - peace and security.,claim
"We welcome the discussion among the United States, Ukraine and Russia due to take place on 17 April.",claim
We encourage United Nations participation in those talks.,claim
"let me reiterate that the Security Council, the only world body in charge of maintaining international peace and security, must work towards restoring its own unity in order to be able to defend the unity, sovereignty and territorial integrity of a States Members of the United Nations, while addressing the interests of the countries of the region",claim
We recognize that there are political interests involved.,premise
we should not forget that ordinary Ukrainians are caught in the midst of this conflict;,premise
all they want and ask for is a peaceful country.,premise
"well-trained and well-armed paramilitary units have moved quickly to lay siege to, occupy and control key institutions in five or six towns in Donetsk province.",premise
The violence in Sloviansk has led to one death and nine wounded.,premise
The stakes are obviously dangerously high.,claim
"This has not been a spontaneous, grassroots, broad-based protest movement by local inhabitants;",claim
rather it is a pattern of highly orchestrated destabilization by pro-Russian groups.,claim
"Those groups have included units of highly trained armed men with Russian military equipment, operating without identifying insignia.",premise
Those units have used force to storm and besiege local Government buildings and institutions.,premise
it is because we have seen the playbook used by Russia in Crimea.,premise
it became clear that the militias were in fact Russian forces.,premise
We condemn any use ofproxy forces.,claim
A State cannot seek to avoid responsibility for its actions by attempting to cloak the identity of those working on its behalf.,claim
The principles of State responsibility make it very clear that a State bears international responsibility for acts undertaken by informal actors whom it engages on its behalf.,premise
but what we are actually witnessing is Violence and destabilization in an effort to manufacture a sense of crisis and separatism.,claim
Ukraine's response to those provocations has been one of restraint under intolerable threats to its stability and independence.,claim
There is no evidence of actions directed at Russian speakers in eastern Ukraine that could possibly justify an intervention by Russia.,premise
Nor is there the generalized anarchy claimed.,premise
Repeated calls for de-escalation have been ignored.,claim
Russia's major military build-up along Ukraine's eastern border has been a significant and deliberation provocation that only further escalates tensions and the likelihood of conflict.,premise
"It deepens Russia's own isolation and also, of course, strengthens the resolve of the international community to stand with and support Ukraine as it seeks to maintain its sovereignty and territorial integrity.",claim
"The only way forward, as we all know, is de-escalation, dialogue and the free elections that are planned for 25 May.",claim
And Ukraine must be allowed to prepare for those elections without the interference and coercion we are witnessing.,claim
But talks can take place only with genuine commitment and good faith on all sides.,claim
"The talks between Russia, Ukraine, the European Union and the United States planned for 17 April are an essential step in that direction",claim
Attempts to change the facts on the ground are completely contrary to dialogue and peaceful resolution.,premise
"We call on Russia to work immediately to reduce tensions, stop its destabilization and withdraw its forces from the provocative posture they have assumed on Ukraine's border.",claim
It now really is imperative that it do so.,claim
China is deeply worried about the recent escalation of the situation in Ukraine.,claim
"We hope that the relevant parties will remain calm, exercise restraint and avoid any further deterioration of the situation.",claim
Settling the question of Ukraine involves the interests and concerns of all parties.,premise
It should be considered in a balanced manner.,claim
Political and diplomatic channels should continue to be pursued,claim
in order to narrow differences and settle the issue within the framework of law and order.,premise
"China has consistently called on the international community to make constructive efforts and employ good offices to ease the situation in Ukraine, and will continue to support the international community in those endeavours.",claim
"We are deeply concerned over the escalation of tensions in various cities of eastern Ukraine, including the worrying seizure of key public buildings in Donetsk and Slovyansk by force.",claim
Those actions will only further exacerbate the already tense situation,premise
we condemn any use of force to change the situation on the ground.,claim
"As Ukraine moves towards critical elections in May,",premise
we believe that political differences must be addressed in a non-violent way through a legitimate process.,claim
there should not be any influence exerted by outside forces.,claim
"We reiterate our strong support for the sovereignty, territorial integrity and independence of Ukraine.",claim
"Chile regrets the outbreaks of violence seen in the eastern regions, specifically in Donetsk, Luhansk and Kharkiv,",claim
expresses its deep concern over the serious consequences of the escalation of the crisis owing to the actions of separatist groups.,claim
It is critical that the parties exercise the maximum restraint in order to contain the crisis.,claim
"Our country once again reiterates the need to respect the sovereignty, independence and territorial integrity of Ukraine.",claim
It is urgent that all parties involved refrain from undertaking actions that are contrary to the provisions of the Charter of the United Nations and the international agreements and treaties to which Ukraine is a party.,claim
"We once again call on the parties to seek a peaceful solution to the crisis through direct political dialogue, to refrain from taking unilateral measures and to support international mediation initiatives",claim
in accordance with General Assembly resolution 68/262.,premise
That process must be inclusive,claim
"must ensure the rule of law, human rights, fundamental freedoms and full respect for the rights of minorities.",claim
"the role of the Security Council, the Secretary-General, his Special Envoy and regional organizations continues to be fundamental.",claim
today the celebration is falling under the shadow of aggression and bloodshed in Ukraine,claim
terrorists coordinated by agents of the Russian Federation seized control of State buildings in several cities of the Donetsk region.,premise
Let me quote a statement made today by Ukraine's acting President Oleksandr Turchynov,premise
"""A particularly dangerous situation has arisen in the city of Slavyansk, where professionally trained armed troops wearing Russian armed forces camouflage without insignia shattered the peace.",premise
"This morning, a convoy of law enforcement officers who sought to protect the citizens of Slavyansk were attacked with assault rifles.",premise
The criminals opened intense fire using local people as human shields.,premise
The blood of Ukrainians has been shed for one undivided sovereign Ukraine.,premise
That blood has been shed in a war that Russia is waging against Ukraine.,premise
"The aggressor has not stopped, and continues to organize unrest in the eastern regions of our country.",claim
It is not a war between Ukrainians.,claim
"The situation of confrontation was artificially created with the aim of weakening and destroying Ukraine itself.""",premise
the Ukrainian Government has done everything possible to avoid confrontation through an inclusive approach to each and every region.,claim
"the Prime Minister of Ukraine, visited the southern and eastern regions - Donetsk, Lugansk, Kharkiv, Dnepropetrovsk, Odessa * addressing such issues of concern as the language policy and prospects for decentralization of power and constitutional reforms.",premise
The Government is ready to consider the significant empowerment of local authorities in Ukraine.,premise
the efforts of the Government of Ukraine have been severely challenged by recent developments in the eastern regions.,claim
"According to Ukrainian intelligence data, during the past month and a half in the eastern regions of Ukraine, agents of the Russian special services embarked on large-scale operations to seize power and destabilize the situation, threatening the lives of citizens of Ukraine, for the purpose of separating those regions from our country.",premise
"During the past month, our Mission has regularly informed the Security Council and all States Members of the United Nations on the latest developments in Russian actions in Crimea and other regions of Ukraine",premise
Russia has not only been constantly increasing the number of its troops deployed along the Ukrainian border but it has also been sending subversive groups into Ukrainian regions in order to destabilize the situation.,claim
"Such specially designated groups, made up of 10 to 20 members of the special forces, primarily from the main intelligence directorate or general staff of the armed forces of the Russian Federation, infiltrated Ukrainian territory with the task of forming and organizing military combat units.",premise
"Ukraine has strong evidence of the involvement of the Russian special service forces, as was mentioned in a statement the Minister for Foreign Affairs of Ukraine made public early today.",premise
The detention of Russian citizen members of subversive groups coordinated by the Russian federal security services and military intelligence is carried out on a daily basis by the security services of Ukraine,claim
"On 8 April, Russian citizen Maria Koleda, who fulfilled intelligence service tasks to destabilize in eastern Ukraine, was detained in Herson.",premise
The Russian saboteur who was about to seize such strategic facilities as the Kakhovka hydroelectric power plant was detained in the region of Herson,premise
"On 10 March, a representative of the Russian Federation military intelligence service was detained in Donetsk.",premise
"On 12 March, the intelligence group of the Russian armed forces that infiltrated the Herson territory from Crimea was detained at the control point.",premise
"On 20 March, a Russian citizen named Markhov, an officer of the main intelligence directorate of the general staff of Russian Federation armed forces, was detained in Chernigiv.",premise
"On the same day, a Russian citizen named Oleg Bakhtiar, one of the leaders of the Eurasian Youth Union of Russia, was detained in Kyiv as he was preparing a group of people under the guise of civil activities for the criminal seizure of the Verkhovna Rada and the Cabinet of Ministers.",premise
All of the arrestees confirmed being part of a network of persons conducting Russian subversive activities in Ukraine.,premise
"Intercepted radio communications of the aforementioned groups, and others, with their Russian coordinators are available and provide other clear evidence.",premise
"It has also been observed that such terrorist groups are heavily armed with weapons used exclusively by Russian armed forces, namely, the Kalashnikov assault rifle AK-lOO series.",premise
Those weapons have also been seen in the hands of Russian troops in Crimea.,premise
"It is clear that the tactics used by terrorists to capture admininstrative buildings in the regions of Donetsk, Lugansk and Kharkiv are identical to those used to seize the buildings of the Crimean Parliament and other Governmental building in Crimea, which video evidence confirms.",claim
Terrorist groups are acting in a very organized and pre-planned manner.,claim
One of the goals is to equip as many locally recruited marginal people as possible with arms and ammunition.,premise
That is why the primary targets of terrorists have been local offices of police and security services with weapon storage facilities.,claim
several hundred guns and automatic rifles have been seized are now in the hands of terrorists.,claim
"There is substantial video evidence of armed attacks using gunfire on local Ukrainian police stations, in Slavyansk and Kramatorsk in particular.",premise
have left absolutely no doubt that the terrorist groups are not the peaceful protesters that our Russian colleagues claim them to be.,claim
they are professional special forces appropriately equipped and armed by the Russian Federation.,claim
Terrorists have started using their weapons against Ukrainian law enforcement and military officers.,claim
This morning in Slavyansk the auto convoy of the Ukrainian military was attacked by gunmen using automatic weapons.,premise
"Terrorists shot and killed Captain Gennady Belichenko of the Ukrainian security services, while ""Alfa"" Commander Kuznietsov and Colonel Kuksa were seriously wounded, as was a police officer named Selikhov.",premise
We are not going to let the Crimea scenario be repeated in eastern Ukraine.,claim
We have not imposed a state of emergency as is required by the provisions of the Constitution of Ukraine.,claim
we have prepared a counterinsurgency plan to strike at the armed terrorists.,claim
"acting President Oleksandr Turchynov said, ""I would like to emphasize that those not involved in shooting at Ukrainian law enforcement officers and who surrender their weapons and leave seized administrative buildings will not be subject to prosecution.""",premise
And now Russia is applying the same tools,premise
inciting separatists by waging unprecedented anti-Ukrainian propaganda in the mass media,premise
distorting the truth about Ukraine,premise
"sending in special troops to seize administrative and law-enforcement buildings with the aim of destabilizing the situation in the eastern regions of Ukraine, and encouraging marginal groups to pursue their separatist ambitions",premise
threatening my country's unity and territorial integrity.,premise
"Apparently, through these attempts, they hope to disrupt the presidential elections in Ukraine scheduled for 25 May.",claim
but by sending its special agents to Ukraine to effect diversions and sabotage,premise
it is actually sponsoring terrorism.,claim
"Russia's statements and position are in fact supporting the terrorists in Ukraine who have seized administrative buildings, taken over the military arsenals of the Ukrainian secret services and police in several cities and opened fire on Ukrainian police.",premise
Ukraine is being subjected to a large-scale terrorist operation orchestrated by the Russian Federation in subregions of the eastern part of the country.,premise
That constitutes a serious threat not only to the security of the people of Ukraine but to international peace and stability as a whole.,claim
We consider it to be the Security Council's duty to find a proper and peaceful solution to this crisis.,claim
We once again call on our Russian partners to put an immediate halt to the actions aimed at undermining the sovereignty and territorial integrity of Ukraine.,claim
We demand that they leave us in peace.,claim
"but of course the most unfair of all came from our Ukrainian colleague, who accused Russia of terrorism.",claim
"Why did he not accuse those who terrorized his Government for months on end, up to 21 February, of terrorism?",premise
"They were people who really did terrorize the forces of law and order, who really did attack police and shoot at them and at those protesting against the authorities and seemed to be attacking their country.",premise
Why were they not called terrorists?,premise
they have been exempted from any responsibility for the criminal activities they conducted for several months.,claim
"I reiterate that, unfortunately, several clumsy accusations have been made against Russia.",claim
But why was there no response to our call at the start of the crisis for launching a dialogue on how to help Ukraine emerge from the political and economic crisis it had found itself in?,claim
Why was the crisis encouraged to continue?,claim
