Sentence,Label,Components
"As of 13 April, at least one Ukrainian officer has been killed in a gun battle; however, the exact number of casualties in the skirmishes remains unknown.",premise,"{'As of 13 April, at least one Ukrainian officer has been killed in a gun battle; however, the exact number of casualties in the skirmishes remains unknown.': ['premise', 154]}"
Numerous others have been reported wounded.,premise,"{'Numerous others have been reported wounded.': ['premise', 43]}"
"Also today, Ukraine's acting President, Oleksandr Turchynov, signed a presidential decree, giving the self-declared separatists until 6 am.",premise,"{""Also today, Ukraine's acting President, Oleksandr Turchynov, signed a presidential decree, giving the self-declared separatists until 6 am."": ['premise', 139]}"
Kyiv time to give up their weapons in order to avoid prosecution.,premise,"{'Kyiv time to give up their weapons in order to avoid prosecution.': ['premise', 65]}"
"The President further declared in a televised address to the nation that if illegal activities were not halted, a full-scale operation involving the Ukrainian army would be launched.",premise,"{'The President further declared in a televised address to the nation that if illegal activities were not halted, a full-scale operation involving the Ukrainian army would be launched.': ['premise', 182]}"
"The Russian Federation has publicly stated on several occasions that it would be ""forced to act"" if Kyiv were to employ force against demonstrators in the East.",premise,"{'The Russian Federation has publicly stated on several occasions that it would be ""forced to act"" if Kyiv were to employ force against demonstrators in the East.': ['premise', 160]}"
The situation is therefore now more combustible than ever.,claim,"{'The situation is therefore now more combustible than ever.': ['claim', 58]}"
The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.,claim,"{'The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.': ['claim', 130]}"
The Secretary-General has continued to speak out for the exercise of maximum restraint by all concerned and strict adherence to international law.,claim,"{'The Secretary-General has continued to speak out for the exercise of maximum restraint by all concerned and strict adherence to international law.': ['claim', 146]}"
He also continues to urge all others with influence on the situation to immediately and publicly call for restraint and a return to calm.,claim,"{'He also continues to urge all others with influence on the situation to immediately and publicly call for restraint and a return to calm.': ['claim', 137]}"
"The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.",claim,"{'The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.': ['claim', 182]}"
It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.,claim,"{'It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.': ['claim', 169]}"
"At this moment, Ukraine teeters on the very brink.",claim,"{'At this moment, Ukraine teeters on the very brink.': ['claim', 50]}"
"However, it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.",claim,"{'However, it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.': ['claim', 145]}"
"Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.",premise,"{'Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.': ['premise', 153]}"
Such scenarios will also have repercussions for the entire international community.,claim,"{'Such scenarios will also have repercussions for the entire international community.': ['claim', 83]}"
The Russian Federation has called for this emergency meeting of the Security Council because of the serious dangerous evolution of the situation in south-eastern Ukraine.,none,{}
"We have pointed out on several occasions, including in this Chamber, that the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society.",claim,"{""the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society"": ['claim', 161]}"
"The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.",premise,"{'The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.': ['premise', 249]}"
Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.,claim,"{'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.': ['claim', 95]}"
"A few days ago, a member of Parliament belonging to the chauvinist Svoboda party said this about the Russian-speaking inhabitants of Ukraine: ""I would have acted much more harshly.",premise,"{'A few days ago, a member of Parliament belonging to the chauvinist Svoboda party said this about the Russian-speaking inhabitants of Ukraine: ""I would have acted much more harshly.': ['premise', 180]}"
I would simply have shot them.,premise,"{'I would simply have shot them.': ['premise', 30]}"
The enemy is prevailing in our land.,premise,"{'The enemy is prevailing in our land.': ['premise', 36]}"
They should have been chased out in 1654.,premise,"{'They should have been chased out in 1654.': ['premise', 41]}"
"These creatures deserve only one thing - death.""",premise,"{'These creatures deserve only one thing - death.""': ['premise', 48]}"
It should be noted that this was said by a woman.,premise,"{'It should be noted that this was said by a woman.': ['premise', 49]}"
We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.,premise,"{'We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.': ['premise', 99]}"
And that is not even the most radical group on the Ukrainian political spectrum.,none,{}
Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?,claim,"{'Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?': ['claim', 243]}"
"The events of the past two days have shown that, following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.",claim,"{'The events of the past two days have shown that,': ['premise', 48], 'following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.': ['claim', 136]}"
"Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.",premise,"{'Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.': ['premise', 197]}"
What is the situation today?,none,{}
We have been told that restraint will be exercised and a peaceful solution found to the situation that takes into account the opinions of the various groupings of the Ukrainian population.,none,{}
That has been confirmed by our Western interlocutors.,none,{}
"However, on 13 April the Verkhovna Rada-appointed President Turchynov stated that the Ukrainian Security Council had decided to launch a full-scale anti-terrorist operation, including the use of the armed forces.",premise,"{'However, on 13 April the Verkhovna Rada-appointed President Turchynov stated that the Ukrainian Security Council had decided to launch a full-scale anti-terrorist operation, including the use of the armed forces.': ['premise', 212]}"
"However, unlike the Maidan demonstrators, the protesters have terrorized no one, have used no bulldozers against the authorioties, and thrown no Molotov cocktails.",premise,"{'However, unlike the Maidan demonstrators, the protesters have terrorized no one, have used no bulldozers against the authorioties, and thrown no Molotov cocktails.': ['premise', 163]}"
It is no coincidence that law-enforcement officers were present among the Maidan protestors.,premise,"{'It is no coincidence that law-enforcement officers were present among the Maidan protestors.': ['premise', 92]}"
Now the Kyiv authorities must use force to suppress other areas of the country.,none,{}
"According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used.",premise,"{'According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used': ['premise', 144]}"
"However, the protesters' interests and opinions have not been taken into account or even discussed.",premise,"{""However, the protesters' interests and opinions have not been taken into account or even discussed."": ['premise', 99]}"
"As a result, blood has already been shed in the South-East and the situation is extremely dangerous.",claim,"{'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.': ['claim', 100]}"
Any further escalation of the situation must be swiftly stopped.,claim,"{'Any further escalation of the situation must be swiftly stopped.': ['claim', 64]}"
The international community must require the Maidan henchmen who seized power in Kyiv to cease their war against their own people and to implement all the commitments under the 21 February agreement.,claim,"{'The international community must require the Maidan henchmen who seized power in Kyiv to cease their war against their own people and to implement all the commitments under the 21 February agreement.': ['claim', 199]}"
"The Western sponsors of the Maidan henchmen, in particular those who stood as witnesses to the agreement and the United States, which is their backer, are obligated to end their support, dissociate themselves from neo-Nazis and other extremists, stop the use of force against the Ukrainian people, and begin forthwith a genuine national dialogue with the full participation of all regions, in the interests of the speedy implementation of radical constitutional reform.",claim,"{'The Western sponsors of the Maidan henchmen, in particular those who stood as witnesses to the agreement and the United States, which is their backer, are obligated to end their support, dissociate themselves from neo-Nazis and other extremists, stop the use of force against the Ukrainian people, and begin forthwith a genuine national dialogue with the full participation of all regions, in the interests of the speedy implementation of radical constitutional reform.': ['claim', 469]}"
It is the West that must determine the opportunity for avoiding civil war in Ukraine.,claim,"{'It is the West that must determine the opportunity for avoiding civil war in Ukraine.': ['claim', 85]}"
"Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.",premise,"{'Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.': ['premise', 168]}"
Enough is enough.,premise,"{'Enough is enough.': ['premise', 17]}"
"They must stop claiming that we have deployed our army along the border with that country and are practically already at the English Channel, and that we have sent agents to coordinate the protests in Ukraine.",claim,"{'They must stop claiming that we have deployed our army along the border with that country and are practically already at the English Channel, and that we have sent agents to coordinate the protests in Ukraine.': ['claim', 209]}"
"It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.",claim,"{'It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.': ['claim', 202]}"
"I wish to thank you, Madam President, for convening this meeting.",none,{}
I also wish to thank Assistant Secretary-General Oscar Fernandez-Taranco for his briefing.,none,{}
Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.,claim,"{'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.': ['claim', 96]}"
"External forces and local provocateurs continue to fuel separatism and hatred, destabilizing the situation in eastern Ukraine on the eve of the 25 May elections.",premise,"{'External forces and local provocateurs continue to fuel separatism and hatred, destabilizing the situation in eastern Ukraine on the eve of the 25 May elections.': ['premise', 161]}"
The scenario is dangerously familiar.,premise,"{'The scenario is dangerously familiar.': ['premise', 37]}"
"Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.",premise,"{'Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.': ['premise', 195]}"
"Again, considerable Russian troops are massed on Ukraine's borders.",premise,"{""Again, considerable Russian troops are massed on Ukraine's borders."": ['premise', 67]}"
"Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.",premise,"{'Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.': ['premise', 147]}"
"Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment.",premise,"{""Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment"": ['premise', 205]}"
"Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.",premise,"{""Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine."": ['premise', 401]}"
"In fact, about 65 per cent of the region's residents, according to opinion polls, have expressed their desire to remain part of Ukraine, while only 18.2 per cent want to join Russia.",premise,"{""about 65 per cent of the region's residents, according to opinion polls, have expressed their desire to remain part of Ukraine, while only 18.2 per cent want to join Russia."": ['premise', 173]}"
"Tragically, bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.",premise,"{'bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.': ['premise', 130]}"
"It is as clear as day that, in spite of the reassurances we heard from Moscow a few weeks ago, military aggression against Ukraine and its sovereignty, independence, and territorial integrity has not stopped with Crimea.",claim,"{'It is as clear as day that, in spite of the reassurances we heard from Moscow a few weeks ago, military aggression against Ukraine and its sovereignty, independence, and territorial integrity has not stopped with Crimea.': ['claim', 220]}"
"My Government strongly condemns the actions of the separatist groups and their sponsors in the Donetsk region, as well as in the regions of Luhansk and Kharkiv.",claim,"{'My Government strongly condemns the actions of the separatist groups and their sponsors in the Donetsk region, as well as in the regions of Luhansk and Kharkiv.': ['claim', 160]}"
Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.,claim,"{'Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.': ['claim', 130]}"
Ukraine's Government has reached out repeatedly to the separatists.,premise,"{""Ukraine's Government has reached out repeatedly to the separatists."": ['premise', 67]}"
"In the most difficult of political and economic circumstances, Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions.",premise,"{""Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions."": ['premise', 123]}"
Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority.,premise,"{""Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority."": ['premise', 135]}"
"That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.",claim,"{'That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.': ['claim', 167]}"
Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.,premise,"{'Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.': ['premise', 114]}"
"Furthermore, amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.",premise,"{'Furthermore, amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.': ['premise', 132]}"
"It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.",claim,"{'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity,': ['claim', 208], 'to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.': ['claim', 154]}"
We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.,claim,"{""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists."": ['claim', 262]}"
"At the same time, when the existence of a State is put in danger, we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.",claim,"{'when the existence of a State is put in danger,': ['premise', 47], 'we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.': ['claim', 248]}"
The international community and members of the Council should not be fooled by the pronouncements of the likes of Yanukovich and his corrupt cronies.,premise,"{'The international community and members of the Council should not be fooled by the pronouncements of the likes of Yanukovich and his corrupt cronies.': ['premise', 149]}"
"The independence, sovereignty and territorial integrity of Ukraine are being threatened, and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.",premise,"{'The independence, sovereignty and territorial integrity of Ukraine are being threatened,': ['premise', 88], 'and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.': ['premise', 131]}"
"We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.",claim,"{'We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.': ['claim', 181]}"
"The meeting among the United States, Russia, Ukraine and the European Union foreseen for 17 April in Geneva wold offer a viable chance for dialogue and diplomacy.",premise,"{'The meeting among the United States, Russia, Ukraine and the European Union foreseen for 17 April in Geneva wold offer a viable chance for dialogue and diplomacy.': ['premise', 162]}"
We call on Russia not to waste that opportunity.,claim,"{'We call on Russia not to waste that opportunity.': ['claim', 48]}"
The human stakes of what is happening in Ukraine are extremely high.,claim,"{'The human stakes of what is happening in Ukraine are extremely high.': ['claim', 68]}"
"The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda, while the Ukrainians are being confronted by incitement and violence.",premise,"{'The lives of innocent civilians are at risk, yet we are being bombarded by Russian disinformation and propaganda': ['premise', 112], 'the Ukrainians are being confronted by incitement and violence.': ['premise', 63]}"
"Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.",claim,"{'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.': ['claim', 100]}"
"The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.",premise,"{'The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.': ['premise', 96]}"
"The Council has heard it publicly, and we have heard it privately.",premise,"{'The Council has heard it publicly, and we have heard it privately.': ['premise', 66]}"
"Unfortunately, the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today, mirrors the tactics Russian forces used in the early stages of the Crimea invasion.",premise,"{'the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today,': ['premise', 113], 'mirrors the tactics Russian forces used in the early stages of the Crimea invasion.': ['claim', 83]}"
"Then, too, officials from the Russian Federation spoke early on in the crisis and disclaimed any intention of occupying or invading.",premise,"{'Then, too, officials from the Russian Federation spoke early on in the crisis and disclaimed any intention of occupying or invading.': ['premise', 132]}"
"In the earlier Crimean case, highly organized, well-equipped and professional forces wearing Russian military uniforms and military gear without identifying insignia moved in first to take control of Crimean Government and security facilities, before being later replaced by regular Russian military forces.",premise,"{'In the earlier Crimean case, highly organized, well-equipped and professional forces wearing Russian military uniforms and military gear without identifying insignia moved in first to take control of Crimean Government and security facilities, before being later replaced by regular Russian military forces.': ['premise', 307]}"
"Then, too, Russia said it was acting to protect minorities' rights.",premise,"{""Then, too, Russia said it was acting to protect minorities' rights."": ['premise', 67]}"
But the whole world now knows that they were not.,claim,"{'But the whole world now knows that they were not.': ['claim', 49]}"
"As the Organization for Security and Cooperation in Europe has reported, the minorities at risk in Crimea are Tatars and Ukrainians.",premise,"{'As the Organization for Security and Cooperation in Europe has reported, the minorities at risk in Crimea are Tatars and Ukrainians.': ['premise', 132]}"
"The Council has heard that there are no Russian troops in eastern Ukraine, but the fact is that many of the armed units that we have seen were outfitted in bullet-proof vests and camouflage uniforms with insignia removed.",premise,"{'The Council has heard that there are no Russian troops in eastern Ukraine, but the fact is that many of the armed units that we have seen were outfitted in bullet-proof vests and camouflage uniforms with insignia removed.': ['premise', 221]}"
"Those armed units, some wearing black and orange Saint George's ribbons - associated with Russian Victory Day celebrations - raised Russian and separatist flags over seized buildings and have called for referendums and union with Russia.",premise,"{""Those armed units, some wearing black and orange Saint George's ribbons - associated with Russian Victory Day celebrations - raised Russian and separatist flags over seized buildings and have called for referendums and union with Russia."": ['premise', 237]}"
"We know who is behind that; indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.",claim,"{'indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.': ['claim', 106]}"
"The synchronized surgical seizure of buildings yesterday occurred in towns along the main highway, followed by armed roadblocks, almost as ifa coordinated barrier were being formed between Kyiv and the major eastern cities of Donetsk and Luhansk.",premise,"{'The synchronized surgical seizure of buildings yesterday occurred in towns along the main highway, followed by armed roadblocks, almost as ifa coordinated barrier were being formed between Kyiv and the major eastern cities of Donetsk and Luhansk.': ['premise', 246]}"
"The Council does not have to take my word for it - or even that of the Ukrainian Government - it need only witness for itself the videos of professional military shepherding thugs into a building in Kramatorsk; the photographs showing the so-called concerned citizens taking over Sloviansk, equipped exactly like the elite troops that took Crimea; or the video of a military operation in Krasny Liman by armed men with the same equipment.",premise,"{'it need only witness for itself the videos of professional military shepherding thugs into a building in Kramatorsk; the photographs showing the so-called concerned citizens taking over Sloviansk, equipped exactly like the elite troops that took Crimea; or the video of a military operation in Krasny Liman by armed men with the same equipment.': ['premise', 344]}"
"The Council has heard laments about instability, as ifinstability were organic.",premise,"{'The Council has heard laments about instability, as ifinstability were organic.': ['premise', 79]}"
But the fact is that this is the saddest kind of instability: it is completely man-made.,claim,"{'But the fact is that this is the saddest kind of instability: it is completely man-made.': ['claim', 88]}"
This instability was written and choreographed in and by Russia.,claim,"{'This instability was written and choreographed in and by Russia.': ['claim', 64]}"
"We continue efforts to de-escalate the situation in Ukraine and find a diplomatic path forward, which is why Secretary Kerry will participate in the Geneva talks on 17 April, which will include Russian Foreign Minister Lavrov.",claim,"{'We continue efforts to de-escalate the situation in Ukraine and find a diplomatic path forward, which is why Secretary Kerry will participate in the Geneva talks on 17 April, which will include Russian Foreign Minister Lavrov.': ['claim', 226]}"
"But ifthose are to be successful, Russia will have to explain why its forces continue to mass on the Ukrainian border - at least 40,000 forces - and it will have to come with constructive ideas on how to de-escalate and resolve the armed attacks on buildings in eastern Ukraine.",claim,"{'Russia will have to explain why its forces continue to mass on the Ukrainian border - at least 40,000 forces': ['claim', 108], 'it will have to come with constructive ideas on how to de-escalate and resolve the armed attacks on buildings in eastern Ukraine.': ['claim', 129]}"
The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.,claim,"{'The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.': ['claim', 135]}"
We also stand with international law and norms and the fundamental principle that borders are not suggestions.,claim,"{'We also stand with international law and norms and the fundamental principle that borders are not suggestions.': ['claim', 110]}"
"On Monday, we will conclude the $1 billion loan guarantee for Ukraine.",premise,"{'On Monday, we will conclude the $1 billion loan guarantee for Ukraine.': ['premise', 70]}"
"That will benefit all the Ukrainian people, including minorities.",premise,"{'That will benefit all the Ukrainian people, including minorities': ['premise', 64]}"
"Next week, Vice-President Biden will visit Ukraine.",premise,"{'Next week, Vice-President Biden will visit Ukraine.': ['premise', 51]}"
We strongly support concluding the agreement between Ukraine and the International Monetary Fund so that the international community can bolster Ukraine's economy.,claim,"{""We strongly support concluding the agreement between Ukraine and the International Monetary Fund so that the international community can bolster Ukraine's economy."": ['claim', 163]}"
And we will support in every way we can Ukraine's elections at the end of May so that Ukraine can advance its political transition and look to a peaceful future.,claim,"{""And we will support in every way we can Ukraine's elections at the end of May so that Ukraine can advance its political transition and look to a peaceful future."": ['claim', 161]}"
"The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours, with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.",premise,"{'The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours': ['claim', 113], 'with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.': ['premise', 119]}"
Street protests have given way to violent action.,premise,"{'Street protests have given way to violent action.': ['premise', 49]}"
That is a dangerous escalation of an already dangerous situation.,claim,"{'That is a dangerous escalation of an already dangerous situation.': ['claim', 65]}"
"We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.",premise,"{'We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.': ['premise', 219]}"
That is a pattern that is all too familiar.,premise,"{'That is a pattern that is all too familiar.': ['premise', 43]}"
"Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia, these events point clearly to Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.",claim,"{'Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia': ['premise', 107], 'Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.': ['claim', 127]}"
"Such actions are contrary to international law, have already been condemned by the international community and have been declared invalid by the General Assembly.",claim,"{'Such actions are contrary to international law, have already been condemned by the international community and have been declared invalid by the General Assembly.': ['claim', 162]}"
"As a Member of the United Nations, and as a permanent member of the Security Council, Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.",claim,"{'As a Member of the United Nations, and as a permanent member of the Security Council,': ['premise', 85], 'Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.': ['claim', 135]}"
"Yet satellite images show that there are between 35,000 and 40,000 Russian troops in the vicinity of the border with Ukraine, equipped with combat aircraft, tanks, artillery and logistical support units.",premise,"{'Yet satellite images show that there are between 35,000 and 40,000 Russian troops in the vicinity of the border with Ukraine, equipped with combat aircraft, tanks, artillery and logistical support units.': ['premise', 203]}"
"That is in addition to the 25,000 Russian troops based illegally in Crimea.",premise,"{'That is in addition to the 25,000 Russian troops based illegally in Crimea.': ['premise', 75]}"
"Just as six weeks ago Russia denied deploying its troops to Crimea, it also now denies that it has amassed troops on Ukraine's eastern border.",premise,"{""Just as six weeks ago Russia denied deploying its troops to Crimea, it also now denies that it has amassed troops on Ukraine's eastern border."": ['premise', 142]}"
It claims that the publicly available satellite images illustrating that troop deployment were taken in August 2013.,premise,"{'the publicly available satellite images illustrating that troop deployment were taken in August 2013.': ['premise', 101]}"
