text,label
more americans at work today than at any time in the history of the country and a greater percentage of the work force,Premise
the way you kill expansions is to raise taxes,Premise
i dont want to do that,Claim
i wont do that,Claim
what i have proposed is something much better,Claim
its going to take discipline of the executive branch,Claim
its going to take discipline of the congressional branch,Claim
that is what i call a flexible freeze that allows growth about 4 percent or the rate of inflation but does not permit the congress just to add on spending,Premise
the vice president made that pledge,Premise
hes broken it three times in the past year already,Premise
it isnt worth the paper its printed on,Claim
hes not going to raise taxes,Claim
he has broken that pledge repeatedly,Premise
he wants to give the wealthiest one percent of the people in this country a fiveyear 40 billion tax break,Premise
were going to pay for it,Claim
hes been proposing all kinds of programs for new spending costing billions,Premise
if we continue with these policies this trillion and a half dollars worth of new debt thats already been added on the backs of the american taxpayer is going to increase even more,Claim
if we continue with this for another four years then im worried about the next generation whether we can ever turn this situation around,Claim
we need a chief executive who is prepared to lead,Claim
who wont blame the congress,Claim
who will lead to bring down that deficit,Claim
who will make tough choices on spending,Claim
will go out and do the job that we expect of him and do it with the congress of the united states,Claim
no,Claim
i dont think either one of us can really,Claim
im not sure i can promise that,Premise
there is no way of anticipating what may happen,Claim
we will set as our goal a steady gradual reduction of the deficit which will require tough choices on spending,Claim
it will require a good strong rate of economic growth,Claim
it will require a plan that the president works out with the congress doesnt blame them works it out with them which brings that deficit down,Claim
it will require us to go out and collect billions and billions of dollars in taxes owed that arent being paid in this country,Claim
thats grossly unfair to the average american who is paying his taxes and paying them on time and doesnt have any alternative its taken out of his paycheck,Premise
we are going to put the irs on every taxpayer,Claim
thats not what we are going to do,Claim
im for the taxpayer bill of rights,Premise
i think its unconscionable ann that we should be talking or thinking about imposing new taxes on average americans when there are billions out there over 100 billion in taxes owed that arent being paid,Claim
we can do all of those things and at the same time build a future in which we are standing on a good strong fiscal foundation,Claim
if you give any of us 200 billion worth of hot checks a year we can create an illusion of prosperity,Claim
sooner or later that credit card mentality isnt going to work,Claim
i want to bring to the white house a sense of strength and fiscal responsibility which will build a good strong foundation under which this country or above which country can move grow invest and build the best america for its people and for our kids and our grandkids,Premise
i think that would be extraordinarily helpful,Claim
i wont do one other thing that hes had to do took 29 million out of his state pension fund thats equivalent at the federal level of taking out of the social security trust fund,Claim
im not going to do that,Claim
i wont do that,Claim
the governor has to balance the budget in his state he is required to by law,Premise
he has raised taxes several times,Premise
i wish he would join me as a matter of fact in appealing to the american people for the balanced budget amendment for the federal government and for the lineitem veto,Premise
id like to have that lineitem veto for the president,Premise
i oppose that,Claim
im against that,Claim
this idea of unleashing a whole bunchan army a conventional force army of irs agents into everybodys kitchen i mean hes against most defense matters and now he wants to get an army of jrs auditors going out there,Premise
im still a little unclear as to whether hes for or against the tax increase,Premise
they should be heard,Claim
you should be quiet,Claim
what these candidates are about is of utmost seriousness to the american voters,Premise
we cannot get through this program with these outbursts,Claim
the american public admired your performance but didnt seem to like you much,Claim
ronald reagan has found his personal warmth to be a tremendous political asset,Premise
i didnt raid the pension fund of massachusetts,Claim
im the first governor in the history of my state to fund that pension system,Premise
i have been in politics for twentyfive years,Premise
ive won a lot of elections,Premise
ive lost a few as you know and learned from those losses,Premise
i won the democratic nomination in fiftyone separate contests,Premise
i think im a reasonably likable guy,Claim
i think im a little more lovable these days than i used to be back in my youth when i began in my state legislature,Claim
im also a serious guy,Claim
i think the presidency of the united states is a very serious office,Claim
i think we have to address these issues in a very serious way,Claim
i also think its important to be somebody who is willing to make those tough choices,Claim
within days after you made that pledge you broke it,Premise
hes not going to raise taxes,Claim
you supported legislation this year thats involved tax increases not once but twice,Premise
that pledge isnt realistic,Claim
i think the vice president knows it,Claim
i think the people of this country know it,Claim
the next president of the united states is going to have to go to the white house seriously,Claim
he is going to have to work with the congress seriously,Claim
he cant turn to the congress and blame them for the fact that we dont have a balanced budget and that we have billions and billions of dollars in red ink,Premise
i am going to be a president who is serious,Claim
to do the kind of job that im elected to do will do it with as much good humor as i can,Claim
i think we know what they are,Claim
i dont think its a question of whether people like you or not to make you an effective leader,Claim
i think its whether you share the broad dreams of the american people,Claim
whether you have confidence in the peoples ability to get things done,Claim
i think its a question of values not likability or loveability,Claim
its a question in foreign affairs in experience,Claim
youd know exactly how to begin,Premise
you have to learn from experience that making unilateral cuts in defense system is not the way that you enhance peace,Premise
it is only the united states that can stand for freedom and democracy around the world,Claim
we cant turn it over to the united nations or other multilateral organizations,Claim
it is though trying to understand the heartbeat of the country,Premise
i think id be a better president now for having had to travel to these communities and understand the family values and the importance of neighborhood,Claim
these campaigns get knocked a lot,Premise
the tenor of the campaign youve been running in terms of both the issues and your rhetoric has surprised even some of your friends,Claim
senator mark hatfield whos known your family a long time and who knew your father the late senator prescott bush said and i quote if his father were alive today im sure his father would see it as a shocking transformation,Premise
i think my dad would be pretty proud of me,Claim
weve come a long long way,Premise
what ive had to do is define not just my position but to define his,Claim
i didnt do that,Claim
im not the one that compared the president of the united states rotting from like a dead fish from the head down,Claim
he ran on the left in the democratic primary ran firmly and ran with conviction and ran on his record,Premise
then at that democratic convention they made a determination and they said there ideology doesnt matter just competence,Premise
in the process the negatives began,Premise
it wasnt me that was there at that convention,Premise
i was up in the with jimmy baker camping out,Premise
i have defined the issues,Claim
hes the one that brought up to garner primary votes the whole question of the aclu,Premise
and i have enormous difference with the aclu on their politic agenda,Premise
not on their defending some minority opinion on the right or the left,Premise
i support that,Claim
what i dont like is this left wing political agenda,Premise
i have to help define that,Claim
if hes unwilling to do it if he says ideology doesnt matter i dont agree with him,Premise
i guess the vice president two or three times said i was coming from the left,Premise
weve heard it again tonight and im not surprised the labels,Premise
in 1980 president reagan called you a liberal for voting for federal gun control,Premise
this is something republicans have used for a long time,Premise
they tried it with franklin roosevelt and harry truman and john kennedy,Premise
its not labels,Claim
its our vision of america,Claim
we have two fundamentally different visions of america,Claim
the vice president is complacent,Premise
i dont,Claim
i think this is a great country,Claim
weve always wanted to do better to make our country better to make our lives better,Premise
weve always been a nation which was ambitious for america and we move forward,Premise
thats the kind of leadership i want to provide,Claim
thats the kind of america i want,Claim
i dont think these labels mean a thing,Claim
the heart of the matter is the future of this country,Claim
they wouldnt be in the budget,Claim
ill give you one that hmet that heavy truck thats cost what is it 850 million and the pentagon didnt request it and yet a member of congress a very powerful one put it in the budget,Premise
i think we can save money through this whole very sophisticated concept andrea that i know you do understand of competitive strategies,Claim
it is new and it is very very different than whats happened,Premise
its very important,Claim
its not a question of saying our budget is full of a lot of waste,Claim
i dont believe that,Claim
i just think it would be dumb negotiating policy with the soviets to cut out one or the other of the two options right now,Claim
we are moving forward with negotiations,Premise
the soviets are modernizing,Premise
we cant simply weve got enough nuclear weapons,Claim
we cant do that,Claim
were in the serious stages of negotiation with the soviet union on the strategic arms control talks,Premise
were protecting a couple of options in terms of modernizing our strategic forces,Premise
my secretary of defense is going to have to make a very difficult decision in which system to go forward with,Claim
we are protecting both of them,Premise
we have to have modernization,Claim
i believe we can have the strongest and best defense possible,Claim
something we havent had over the course of the past many years,Claim
the vice president has been at least allegedly in charge of that war,Premise
we have the lowest murder rate of any industrial state in america,Premise
theres no way that we can build all of the weapons the vice president says he wants to build within the defense budget,Claim
weve just had another example of why the vice presidents mathematics just dont add up,Premise
we are not going to spend the billions and trillions that mr bush wants to spend on star wars,Claim
were not going to spend billions on mxs on railroad cars,Claim
were not going to spend hundreds of millions on a space plane from washington to tokyo,Claim
were going to have a strong and credible and effective nuclear deterrent,Claim
those are decisions that the chief executive has to make,Premise
everybody knows that including the people at the pentagon,Premise
my defense secretary is going to have a lot to do with those decisions,Premise
were going to go forward with the stealth and the d5 and the advance cruise missile and good conventional forces,Claim
im prepared to make them,Claim
the vice president is not,Claim
you say we have to do something about conventional forces,Claim
from jerry ford to jimmy carter to ronald reagan there has been a bipartisan consensus in favor of modernizing the land based missiles,Premise
you have ruled out the mx and the midgetman,Premise
more recently some of your aides have hinted at some flexibility you might show about some other new form of missile,Premise
you cant divorce our military security from our economic security,Claim
that debt is going to grow bigger and bigger and bigger,Claim
military security and economic security go hand in hand,Claim
i dont rule out modernization,Claim
there are discussions going on now in the congress i know with the pentagon about a less expensive modernized landbased leg of the triad,Premise
there are limits to what we can spend,Premise
there are limits to this nations ability to finance these weapons systems,Premise
we will have a strong and effective and credible nuclear deterrent,Claim
were going to have conventional forces that are well maintained well equipped well trained well supported,Claim
we have serious problems with our conventional forces at the present time,Premise
theyll get worse unless we have a president who is willing to make some of these decisions,Claim
we also have important domestic priorities in education and housing and health care in economic development in job training in the environment,Premise
all of these things are going to have to be addressed,Claim
i want the men and women of our armed forces to have the support they need to defend us,Premise
the support they need when they risk our lives to keep us free and to keep this country free,Premise
we cannot continue to live on a credit card,Claim
we cannot continue to tell the american people that were going to build all of these systems and at the same time invest in important things here at home and be serious about building a strong and good america,Premise
thats the kind of america i want to build,Claim
i think the foremost responsibility of a president really gets down to the national security of this country,Claim
they were wrong,Claim
and the result is we deployed and the soviets kept deploying and then we negotiated from strength,Premise
the governor talks about limits what we cant do,Premise
it takes eight years ten years to do that,Premise
now we have the first arms control agreement in the nuclear age to ban weapons,Premise
you just dont make unilateral cuts in the naive hope that the soviets are going to behave themselves,Premise
we have enhanced the peace,Claim
peace through strength works,Claim
hes a hero,Claim
i can think of doctors and scientists jonas salk who for example discovered a vaccine which cured one of the most dread diseases we ever had,Premise
there are many people who i admire in this country today,Claim
some of them are in public life in the senate the congress,Premise
some of my fellow governors who are real heroes to me,Premise
i think of those young athletes who represented us at the olympics were tremendously impressive,Premise
i think of classroom teachers classroom teachers that i have had classroom teachers that youngsters have today who are real heroes to our young people,Premise
they inspire them,Premise
they teach them,Premise
they are role models,Premise
members of the clergy who have done the same,Premise
drug counselors out there in the street who are providing help to youngsters who come up to me and others who ask for help and want help are doing the hard work the heroic work which it takes to provide that kind of leadership that kind of counseling that kind of support,Premise
i think of people in the law enforcement community who are taking their lives in their hands everyday when they go up to one of those doors and kick it down and try to stop this flow of drugs into our communities and into our kids,Premise
there are many many heroes in this country today,Claim
these are people that give of themselves everyday and every week and every month,Premise
in many cases they are people in the community who are examples and are role models,Premise
i also think we ought to give a little credit to the president of the united states,Claim
he is the one who has gotten us that first arms control agreement,Premise
he is leaving office with a popularity at an alltime high,Claim
american people say he is our hero,Premise
i think of a teacher right here largely hispanic school jaime escalante teaching calculus to young kids 80 percent of them going on to college,Premise
i think of a young man now in this country named villadaris who was released from a cuban jail,Premise
came out and told the truth in this brilliant book against all hope about what is actually happening in cuba,Premise
i think of those people that took us back into space again rick houk and that crew as people that are worthy of this,Premise
i agree with the governor on athletics,Premise
i think of dr fauci,Premise
hes a very fine research top doctor at the national institute of health working hard doing something about research on this disease of aids,Premise
i think the man anybody that gets into this political arena and has to face you guys everyday deserves a word of praise,Claim
its gotten a little ugly out there,Premise
its gotten a little nasty,Premise
its not much fun sometimes,Premise
no,Claim
weve got to unleash the bush kids,Claim
so you saw ten grandchildren there jumping all over their grandfather at the convention,Premise
you see our five kids all over this country and their spouses,Premise
the concept of the dukakis family has my great respect,Claim
we used that as a role model the way he took understandable pride in his heritage what his family means to him,Premise
some of it is unfair,Claim
ive been in politics a long time and i dont remember that kind of piling on that kind of ugly rumor that never was true printed,Premise
hes in the arena,Premise
teddy roosevelt used to talk about the arena you know daring to fail greatly or succeed no matter,Premise
hes in there,Premise
thats not bad,Claim
thats true,Claim
those are basic american values,Claim
i believe in them,Premise
i think you believe in them,Premise
theyre not left or right,Claim
theyre decent american values,Claim
one thing that concerns me about this ann is this attempt to label things which all of us believe in,Premise
we may have different approaches,Premise
we may think that you deal with them in different ways,Premise
theyre basically american,Claim
i think the american people would appreciate that,Claim
you regard abortion as murder yet you would make exceptions in the case of rape and incest,Claim
i dont think that you make an exception based on medical knowledge at the time,Claim
barb and i lost a child you know that we lost a daughter robin,Premise
i was over running records in west texas and i got a call from her come home,Premise
thanks to the miraculous sacrifice of doctors and nurses the child stayed alive for six months and then died,Premise
if that child were here today and i was told the same thing my granddaughter noel for example that child could stay alive for ten or fifteen years or maybe for the rest of her life,Premise
when i was in that little church across the river from washington and saw our grandchild christened in our faith i was very pleased indeed that the mother had not aborted that child and put the child up for adoption,Premise
i just feel this is where im coming from,Premise
i dont assail him on that issue or others on that issue,Claim
thats the way i george bush feel about it,Premise
i think it has to be the woman in the exercise of her own conscience and religious beliefs that makes that decision,Claim
thats a decision that only a woman can make,Claim
you would maintain a stable defense budget,Claim
you are on the board of a group called jobs with peace in boston that advocates a 25percent cut in the defense budget and the transfer of that money to the domestic economy,Premise
no i dont happen to share that goal,Claim
its an example of how oftentimes we may be associated with organizations all of whose particular positions we dont support,Premise
yes at some point it may be possible to reduce defense outlays and use those for important things here at home like jobs and job training and college opportunity and health and housing and the environment and the things that all of us care about,Premise
i do think this that the next president even within a relatively stable budget and thats what we are going to have for the foreseeable future will have to make those tough choices that i was talking about and that mr bush doesnt seem to want to make,Claim
that really is going to be a challenge for the next president of the united states,Claim
i think we have an opportunity over the long haul to begin to move some of our resources from the military to important domestic priorities,Claim
i also see a tremendous opportunity now to negotiate with the soviet union to build on the progress that weve made with the inf treaty which i strongly supported and most democrats did to get those reductions in strategic weapons to get a test ban treaty,Premise
provide college opportunity for that young woman whose mother wrote me from texas just the other day from longview texas two teachers a mother and a father who have a child thats a freshman in college an electrical engineering major a very bright student and they cant afford to keep that child in college,Premise
i hope that we can begin to move those resources,Premise
its not going to happen overnight,Claim
it certainly will have to happen on a stepbystep basis as we make progress in arms negotiation and arms control and arms reduction,Premise
it certainly ought to be the longterm goal of all americans,Claim
i do believe in the death penalty,Claim
i think it is a deterrent,Claim
i believe we need it,Claim
some crimes are so heinous so brutal so outrageous and id say particularly those that result in the death of a police officer,Premise
i think were facing a real opportunity for world peace,Claim
its a question as to whether the united states will continue to lead for peace,Premise
i dont believe any other country can pick up the mantel,Claim
the defense budget today takes far less percentage of the gross national product than it did in president kennedys time for example moved tremendously,Premise
i served at the un,Premise
i dont think we can turn over these kinds of decisions of the collective defense to the united nations or anything else,Claim
we are going to have to make choices,Claim
i said i would have the secretary of defense sit down,Premise
while the president is negotiating with the soviet union i simply do not want to make these unilateral cuts,Premise
i think those that advocated the freeze missed the point that there was a better way,Claim
the soviets take out more than we do and the principle of intrusive verification,Premise
those two principles can now be applied to conventional forces to strategic forces provided we dont give away our hand before we sit down at the head table,Premise
we dont have an alternative,Claim
fm going to have to,Claim
we have had not one but two detailed studies which indicate that there are billions and billions of dollars to be collected that are not being paid,Premise
well lose it when its taken out of our paycheck before we even get it,Premise
its the internal revenue service which estimates now that we arent collecting 100 billion or more in taxes owed in this country,Premise
that is just absolutely unfair to the vast majority of americans,Claim
the dorgan task force which included two internal revenue commissioners one a republican one a democrat,Premise
youve got to have a president whos prepared to do this and to begin right away,Claim
in my own state we did it,Premise
in other states weve done it,Premise
republican governors as well as democratic governors,Premise
weve had great success at revenue enforcement,Premise
this is something that we must begin,Claim
its going to take at least the first year of the new administration,Claim
the vice president will probably tell you that its going to take an army of irs collectors again,Premise
his campaign manager who used to be the secretary of the treasury was taking great credit about a year ago and asking and receiving from the congress substantial additional funds to hire internal revenue agents to go out and collect these funds,Premise
im happy to join jim baker in saying that we agree on this,Premise
the dorgan task force the bipartisan task force estimated that we could collect about 35 billion in the fifth year 105 billion over five years,Premise
the other study even more than that,Premise
thats where you begin,Claim
i believe we can keep this longest expansion going,Claim
i was not out there when that stock market dropped wringing my hands and saying this was the end of the world as some political leaders were,Claim
it isnt the end of the world,Premise
what we have to do is restrain the growth of spending,Claim
we are doing a better job of it,Premise
the congress is doing a better job of it,Premise
the dynamics work,Premise
they dont work if you go raise taxes and then the congress spends it continues to spend that,Claim
the american working man and woman are not taxed too little,Claim
the federal government continues to spend too much,Claim
more so you than me,Claim
it wasnt created as a welfare program,Claim
it wasnt created that is it was created as a whole retirement or supplement to retirement program,Claim
it wasnt created as a welfare program,Claim
we came into office and the social security trust fund was in great jeopardy,Premise
heres whats happened,Premise
you got to go back to what social security was when it was created,Premise
i dont want to fool around with it,Premise
theres a good political reason,Claim
its just about this time of year that the democrats start saying the republicans are going to take away your social security,Premise
it always works that way,Claim
ive seen it,Premise
in precinct politics in texas and ive seen it at the national level,Premise
we have made the social security trust fund sound,Premise
it is going to be operating at surpluses,Claim
i dont want the liberal democratic congress to spend out of that social security trust fund or go and take the money out for some other purpose,Premise
i will not go in there and suggest changes in social security,Claim
the governor and i both supported slipping the colas for one year,Claim
i learned that the hard way,Premise
he supported it at the national governors conference,Premise
i supported it in breaking a tie in a major compromise package,Premise
i am going to keep that social security trust fund sound,Claim
maybe down the line maybe when you get two decades or one into the next century youre going to have to take another look at it,Premise
not now,Claim
we do not have to do it,Claim
you did it in 1985,Premise
republicans once theyre elected and start cutting,Claim
the administration tried to do it repeatedly repeatedly in 81 82,Premise
youll try to do it again,Claim
theres no way you can finance what you want to spend,Claim
theres no way you can pay for that five year 40 billion tax cut for the rich and still buy all those weapons systems you want to buy unless you raid the social security trust fund,Premise
george bush a few years ago said that social security was basically a welfare system,Premise
in 1985 he flew back from the west coast to cut that cola,Premise
i voted against that at the national governors association,Premise
we won a majority we didnt win the twothirds that was necessary nor to pass that resolution,Premise
i dont have a list yet,Claim
i feel pretty confident tonight but not that confident,Premise
i dont have any litmus test,Claim
what i would do is appoint people to the federal bench that will not legislate from the bench who will interpret the constitution,Claim
i do not want to see us go to again and fm using this word advisedly a liberal majority that is going to legislate from the bench,Premise
i wont support judges like that,Claim
they dont like the use of the word,Premise
there is no litmus test on any issue,Claim
i will go out there and find men and women to interpret,Claim
i dont have a list,Claim
i think the appointments that the president has made to the bench have been outstanding outstanding appointments,Claim
yeah,Claim
i supported him,Premise
that is a very good reason for voting for mike dukakis and lloyd bentsen on the 8th of november,Claim
i think the vice president supported the bork nomination,Premise
mr bush has never appointed a judge,Premise
ive appointed over 130,Premise
i have a record,Claim
i dont ask people whether theyre republicans or democrats,Premise
ive appointed prosecutors,Premise
i dont appoint people i think are liberal or people who think  who i think are conservative,Premise
i appoint people of independence and integrity and intelligence,Claim
those are the standards that i will use in nominating people to the supreme court of the united states,Claim
the government just cant continue to pay for all of those programs as theyre currently constituted,Claim
millions of americans are entitled to some of the protections and benefits that the federal government provides including social security pensions medicare for the elderly medicaid for the poor,Premise
twothirds of the people in this country who receive social security checks live entirely on that check,Premise
they have no other income,Premise
we now have catastrophic health insurance,Claim
its going to cost,Claim
thats going to be an additional burden on elderly citizens,Claim
mr bush tried to cut their cost of living increase in 1985,Premise
medicare is not getting less expensive,Premise
medical care for the elderly is getting more expensive with greater deductibles with fewer benefits the kinds of things weve had under this administration that have cut and chopped and reduced the kind of benefits that one gets under medicare,Premise
im not going to begin and im not going to go to entitlements as a means for cutting that deficit,Claim
were spending billions on something like star wars,Premise
were spending billions on other weapon systems which apparently the vice president wants to keep in his back pocket or some place,Premise
those are going to be additional costs on senior citizens across this country,Claim
it should have had bipartisan support,Premise
it had bipartisan support,Premise
there are some things we can do to help people who currently do get entitlements to get off public assistance,Claim
im proud to say that we finally have a welfare reform bill,Premise
thats the way you bring a deficit down and help to improve the quality of life for people at the same time,Claim
i did not vote to cut colas,Claim
i voted the same way that he did three months before in a national governors conference,Premise
he said at that time in a quote and this is a paraphrase a freeze thats easy,Premise
i dont believe that we need to do what youve suggested here,Claim
im going to keep this social security entitlement to keep that trust fund sound,Claim
i do think there are flexible ways to solve some of the pressing problems particularly that affect our children,Claim
i have made some good sound proposals,Claim
we have a big difference on child care for example,Premise
i want the families to have the choice,Premise
i dont want to see the federal government licensing grandmothers,Premise
i dont want to see the federal government saying to communities well you cant do this any more were going to tell you how to do it all,Premise
i want flexibility,Premise
you ought to go out and see around this country whats happening in the volunteer section americans helping america,Premise
i want to keep it alive in child care and in other entitlements,Claim
that is absolutely not true,Claim
that is absolutely not true,Claim
it had nothing to do with the debate on social security,Claim
it had to do with the discussion we had had the previous day on the overall question of reducing the budget,Claim
no,Claim
that simply isnt true,Claim
were not a parliamentary body the national governors association,Premise
we vote on resolutions,Premise
if you dont get a twothirds then your resolution doesnt pass,Premise
everybody knew that those of us who voted against the freezing of colas did so we did so emphatically,Premise
i never made that statement,Claim
never would,Claim
as we look at this nations future and we have two very different visions of this future,Premise
i want to move ahead,Claim
these people laugh about the thousand points of light,Claim
the vice president talks about a thousand points of light,Premise
im interested in 240 million points of light,Claim
im interested in 240 million citizens in this country who share in the american dream,Claim
i just dont believe the place you go first is those programs those socalled entitlements,Claim
the vice president did call social security a few years ago basically or largely a welfare program,Premise
it isnt,Claim
its a contract between generations,Claim
its something that we pay into now so that we will have a secure retirement and our parents and grandparents will have a secure retirement,Premise
its a very sacred contract,Claim
i believe in it,Claim
thats not where we ought to go,Claim
there are plenty of places to cut,Claim
theres lots we can do in the pentagon where dishonest contractors have been lining their pockets at the expense of the american taxpayer,Premise
we certainly ought to be able to give our farm families a decent income with spending 20to 25 billion a year on farm subsidies,Premise
im sure we can do that,Claim
thats where we ought to go,Claim
those are the programs we ought to review first,Claim
i dont,Claim
i think the farm bill that he criticizes was good legislation outstanding legislation,Claim
i believe the answer to the agricultural economy is not to get the government further involved but to do what im suggesting,Claim
never go back to that democratic grain embargo that liberal democrat grain embargo that knocked the markets right out from under us and made mr gorbachev say to me when i was here how do i know youre reliable suppliers,Premise
we never should go back to that,Claim
we ought to expand our markets abroad,Premise
we ought to have rural enterprise zones,Premise
we ought to move forward swiftly on my ideas of ethanol which would use more corn and therefore create a bigger market for our agricultural products,Premise
the farm payments are going down,Claim
you have said in this campaign i am an environmentalist having zero tolerance for polluters,Claim
your record does seem to suggest otherwise,Claim
when you were head of the presidents task force on regulatory relief you did urge epa to relax regulations involving the elimination of lead from gasoline,Premise
you urged suspension of rules requiring industries to treat toxic waste before discharging them in sewers,Premise
your group also urged osha to weaken the regulations requiring that workers be informed of dangerous chemicals at the work site,Premise
you did support the presidents veto of the clean water act,Premise
90 percent reductions in lead since i chaired that regulatory task force 90 percent,Premise
im for clean water,Claim
what im not for what im not for is measuring it the way that the democratic congress does,Premise
we sent up a good bill on clean water a sound bill on clean water,Claim
the only way you can express your love for clean water is to double the appropriations for clean water and then rant against the deficit,Premise
i am for clean water,Claim
i refuse to measure ones commitment as to whether youre going to double the spending,Claim
ive been an outdoorsman and a sportsman all my life,Premise
ive been to these national parks,Premise
i led for the earl wallop bill or formerly dingelljohnson,Premise
i headed the task force when i was a member of the congress way back in the late 60s on these kinds of things on the republican side,Premise
i led for that,Premise
that is the same old argument thats gotten us into trouble on the deficit side,Premise
i am one,Claim
im an environmentalist,Claim
ill do a good job,Claim
i am committed,Premise
he favors this supply maintenance or production controls,Premise
hes been out in the state saying that,Premise
i believe in our parks,Premise
i believe in the presidents commission on outdoors,Premise
im not going to go down there and try to dump the sludge from massachusetts off the beaches off of new jersey,Claim
im not going to do that,Claim
im not going to do that,Claim
it was a mistake,Claim
that was a mistake as well,Claim
im against the grain embargo,Premise
im also against the pipeline embargo which you folks attempted to impose,Premise
it cost thousands of jobs for american workers in the midwest and all over the united states of america,Premise
if you were so opposed to the grain embargo why did you ask the godfather of the grain embargo to be one of your top foreign policy advisers,Premise
george bush who was the charter member of the environmental wrecking crew that went to washington in the early 80s and did a job on the epa,Premise
you did everything you could to kill the clean water act and those grants which make it possible for states and local communities to clean up rivers and harbors and streams,Claim
he spent millions and millions of dollars of advertising on the subject of boston harbor,Premise
boston harbor was polluted for 100 years,Premise
im the first governor to clean it up,Claim
no thanks to you,Claim
no thanks to you,Claim
weve been cleaning it up for four years,Premise
we passed landmark legislation in 84,Premise
no thanks to you,Claim
no,Claim
i will not agree to another debate,Claim
the american people are up to here with debates,Claim
they had thirty of them,Premise
we had seven of them,Premise
now weve got three of them,Premise
i am not going to have any more debates,Claim
we dont need any more debates,Claim
he started it,Claim
this was just outrageous,Claim
do you remember the senator from boston chanting out there and the ridicule factor from that lady from texas that was on there,Premise
there will be no more debates,Claim
i think we can all share with respect in the fact that maybe the message is not getting out,Claim
its not getting out,Claim
somebody hit me and said barry goldwater said you ought to talk on issues more,Premise
how can barry goldwater sitting in arizona know whether im talking on the issues or not when we put out position paper after position paper he puts out position paper after position pape,Premise
everyone else is fascinated with polls,Premise
take a look at the democratic convention take a look at it,Premise
i went all across central illinois and spoke about agricultural issues about seven stops,Premise
we had some fun crystal gayle and loretta lynn with us and they got up and sang went to little towns and i talked agriculture,Premise
not one thing did i see with respect on your network about my views on agriculture,Claim
you are so interested in a poll that might have been coming out,Premise
somebody had said something nasty about somebody else,Premise
i think we both have a responsibility to try to address the issues,Claim
i want to move forward,Claim
i want this nation to move forward,Claim
i am concerned about the fact that 10 percent of our manufacturing and 20 percent of our banking and nearly half of the real estate in the city of los angeles are in the hands of foreign investors,Claim
i am concerned about what that does to our future,Premise
im concerned about the fact that so many of our securities are in the hands of foreign banks,Claim
most americans believe in basic values,Premise
we have differences about how to achieve them,Premise
those are the issues on which we ought to be debating,Claim
i think we will have a good success,Claim
you didnt rule it out that there are limits to what we can spend,Claim
you went on to talk about a much more expensive part of our defense strategy namely conventional forces,Premise
i think we ought to be looking at modernization,Claim
i think we ought to be exploring less expensive ways to get it on land,Claim
